Year,UID,Question,Categories,Unit,Answer Type,Asked of,Age range,Multiple choice options
2000,2000_6,Race,Race,Individual,CC,All respondents,,"White, Black/African American/Negro, American Indian or Alaska Native, Asian Indian, Chinese, Filipino, Japanese, Korean, Vietnamese, Native Hawaiian, Guamanian/Chamorro, Samoan, Other Asian, Other PI, Other"
2000,2000_5,Hispanic origin,Race,Individual,CC,All respondents,,"No, Yes (Mexican/Chicano), Yes (other), Yes (Puerto Rican), Yes (Cuban)"
2000,2000_7,Marital status,Family,Indiv. in sampled household,CC,All respondents,,"Now married, Widowed, Divorced, Separated, Never married"
2000,2000_8a,Attended school since February 1,Education,Indiv. in sampled household,CC,All respondents,,"No, Yes (public), Yes (private)"
2000,2000_8b,Education level attended,Education,Indiv. in sampled household,CC,All respondents,,"Nursery, K, 1 to 4, 5 to 8, 9 to 12, College, Graduate or professional"
2000,2000_9,Education level completed,Education,Indiv. in sampled household,CC,All respondents,,"None, Nursery to 4, 5 to 6, 7 to 8, 9, 10, 11, 12 (no diploma), HS graduate, Some college, 1 or more college (no degree), Associate, Bachelor's, Master's, Professional, Doctorate"
2000,2000_12,Place of Birth (state or country),National origin,Indiv. in sampled household,FT,All respondents,,
2000,2000_11a,Other than English spoken at home,National origin,Indiv. in sampled household,BN,All respondents,,
2000,2000_11b,Languge spoken at home,National origin,Indiv. in sampled household,FT,All respondents,,
2000,2000_11c,English language ability,National origin,Indiv. in sampled household,CC,All respondents,,"Very well, Well, Not well, Not at all"
2000,2000_10,Ancestry/Ethnicity,National origin,Indiv. in sampled household,FT,All respondents,,
2000,2000_13,Citizenship,Immigration,Indiv. in sampled household,CC,All respondents,,"Yes (born in US), Yes (born in US territory), Yes (born abroad to American parents), Yes (naturalized), No"
2000,2000_14,Year of immigration to US,Immigration,Indiv. in sampled household,FD,All respondents,,
2000,2000_15a,Lived here in 1995,Housing,Indiv. in sampled household,CC,All respondents,,"Under 5, Yes, No (outside US), No (different house)"
2000,2000_15b,Residence in 1995 (+ subquestions),Housing,Indiv. in sampled household,FT,All respondents,,
2000,2000_16a,Blind or deaf,Disability,Indiv. in sampled household,BN,All respondents,,
2000,2000_16b,Health condition limiting mobility,Disability,Indiv. in sampled household,BN,All respondents,,
2000,2000_17a,Health condition difficulty learning,Disability,Indiv. in sampled household,BN,All respondents,,
2000,2000_17d,Health condition difficulty working,Disability,Indiv. in sampled household,BN,16 or over,,
2000,2000_17c,Health condition difficulty going out,Disability,Indiv. in sampled household,BN,16 or over,,
2000,2000_17b,Health condition difficulty at home,Disability,Indiv. in sampled household,BN,All respondents,,
2000,2000_19a,Live with grandchildren,Occupation,Indiv. in sampled household,BN,15 or over,,
2000,2000_19b,Primary caregiver for grandchildren,Occupation,Indiv. in sampled household,BN,15 or over,,
2000,2000_19c,How long primary caregiver for grandchildren,Occupation,Indiv. in sampled household,CC,15 or over,,"Less than 6 months, 6 to 11 months, 1 to 2 years, 3 to 4 years, 5 or more years"
2000,2000_20a,Armed services,Veteran status,Indiv. in sampled household,CC,15 or over,,"Yes (active), Yes (active in past), Yes (Reserves/NG), No"
2000,2000_20b,Period of military service,Veteran status,Indiv. in sampled household,CC,15 or over,,"April 1995 or later, August 1990 to March 1995/Persian Gulf, September 1980 to July 1990, May 1975 to August 1980, Vietnam, February 1955 to July 1964, Korean, WWII, Other"
2000,2000_20c,Years of active duty service,Veteran status,Indiv. in sampled household,CC,15 or over,,"Less than 2, 2 or more"
2000,2000_21,Any work last week,Occupation,Indiv. in sampled household,BN,15 or over,,
2000,2000_22,Location of work,Occupation - Job,Indiv. in sampled household,FT,15 or over,,
2000,2000_23a,Commute mode of transportation,Occupation - Commute,Indiv. in sampled household,CC,15 or over,,"Car/truck/van, Bus, Streetcar, Subway, Railroad, Ferry, Taxi, Motorcycle, Bicycle, Walked, Worked at home, Other"
2000,2000_23b,Number in carpool,Occupation - Commute,Indiv. in sampled household,CC,15 or over,,"Drove alone, 2, 3, 4, 5 or 6, 7 or more"
2000,2000_24a,Time left for work,Occupation - Commute,Indiv. in sampled household,FN,15 or over,,
2000,2000_24b,Commute duration,Occupation - Commute,Indiv. in sampled household,FN,15 or over,,
2000,2000_25a,On layoff last week,Occupation - Unemployment,Indiv. in sampled household,BN,15 or over,,
2000,2000_25b,Temporarily absent from job or business,Occupation,Indiv. in sampled household,BN,15 or over,,
2000,2000_25c,Planned return to work,Occupation,Indiv. in sampled household,BN,15 or over,,
2000,2000_25d,Seeking work in last 4 weeks,Occupation - Unemployment,Indiv. in sampled household,BN,15 or over,,
2000,2000_25e,Reason unable to take a job,Occupation,Indiv. in sampled household,CC,15 or over,,"Yes, No (illness), No (other)"
2000,2000_26,Time of last work,Occupation,Indiv. in sampled household,CC,15 or over,,"1995 to 2000, 1994 or earlier/never worked"
2000,2000_27a,Name of employer (current/last),Occupation - Job,Indiv. in sampled household,FT,15 or over,,
2000,2000_27b,Type of business (current/last),Occupation - Job,Indiv. in sampled household,FT,15 or over,,
2000,2000_28a,Type of work (current/last),Occupation - Job,Indiv. in sampled household,FT,15 or over,,
2000,2000_27c,Industry (current/last),Occupation - Job,Indiv. in sampled household,CC,15 or over,,"Manufacturing, Wholesale trade, Retail trade, Other"
2000,2000_28b,Job responsibilities,Occupation - Job,Indiv. in sampled household,FT,15 or over,,
2000,2000_29,Class of worker,Occupation - Job,Indiv. in sampled household,CC,15 or over,,"Private (for-profit), Private (non-profit), Local government, State government, Federal government, Self-employed (unincorporated), Self-employed (incorporated), Unpaid"
2000,2000_30a,Any work in 1999,Occupation,Indiv. in sampled household,BN,15 or over,,
2000,2000_30b,Weeks of work in 1999,Occupation,Indiv. in sampled household,FN,15 or over,,
2000,2000_30c,Hours of work per week in 1999,Occupation,Indiv. in sampled household,FN,15 or over,,
2000,2000_31a,1999 wages as employee,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
2000,2000_31b,1999 wages as owner,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
2000,2000_31d,1999 income from Social Security,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
2000,2000_31e,1999 income from SSI,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
2000,2000_31f,1999 income from public assistance/welfare,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
2000,2000_31g,1999 income from retirement or disability,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
2000,2000_31h,"1999 income from VA, unemployment, etc.",Occupation - Income,Indiv. in sampled household,FM,15 or over,,
2000,2000_31c,1999 income from outside sources,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
2000,2000_32,Total income in 1999,Occupation - Income,Indiv. in sampled household,FM,15 or over,,
2000,2000_H,Housing questionnaire,Housing,Sampled Household,CC,All respondents,,
2000,2000_r1,# of people living here,[Admin.],Reference Individual,FN,All respondents,,
2010,2010_r2,Any additional people,[Admin.],Reference Individual,CC,All respondents,,"Children/grandchildren, Relatives, Nonrelatives, People staying temporarily, No additional people"
2010,2010_r3,Rent or own,Housing,Household,CC,All respondents,,"Owned with mortgage, Owned without mortgage, Rented, Occupied without payment of rent"
2010,2010_r4,Telephone number,[Admin.],Reference Individual,FN,All respondents,,
2010,2010_1,Name,Identity,Individual,FT,All respondents,,
2010,2010_2,Relationship to head of family,Family,Individual,CC,All respondents,,"Husband/wife, Biological son/daughter, Adopted son/daughter, Stepson/daughter, Brother/sister, Father/mother, Grandchild, Parent-in-law, Son-/daughter-in-law, Other relative, Roomer/boarder, Housemate/roommate, Unmarried partner, Other nonrelative"
2010,2010_3,Sex,Identity,Individual,CC,All respondents,,"Male, Female"
2010,2010_4,Date of birth / age,Identity,Individual,FN,All respondents,,
2010,2010_6,Race,Race,Individual,CC,All respondents,,"White, Black/African American/Negro, American Indian or Alaska Native, Asian Indian, Chinese, Filipino, Japanese, Korean, Vietnamese, Native Hawaiian, Guamanian, Chamorro, Samoan, Other PI, Other Asian, Other"
2010,2010_5,Hispanic origin,Race,Individual,CC,All respondents,,"No, Yes (Mexican/Chicano), Yes (Puerto Rican), Yes (Cuban), Yes (other)"
2010,2010_7,Sometimes lives elsewhere,Housing,Individual,CC,All respondents,,"No, College housing, Military, Seasonal/second residence, Child custody, Jail, Nursing home, Other"
2010,2010_ACS,Questions shifted to the ACS,[Multiple],Indiv. in sampled household,CC,All respondents,,
2020,2020_r1,# of people living here,[Admin.],Reference Individual,FN,All respondents,,
2020,2020_r2,Any additional people,[Admin.],Reference Individual,CC,All respondents,,"Children/grandchildren, Relatives, Nonrelatives, People staying temporarily, No additional people"
2020,2020_r3,Rent or own,Housing,Household,CC,All respondents,,"Owned (mortgage/loan), Owned (free and clear), Rented for cash, Occupied without rent"
2020,2020_r4,Telephone number,[Admin.],Reference Individual,FN,All respondents,,
2020,2020_1,Name,Identity,Individual,FT,All respondents,,
2020,2020_2,Usually lives elsewhere,Housing,Individual,CC,All respondents,,"No, Yes (college), Yes (military), Yes (job), Yes (nursing home), Yes (with parent or other relative), Yes (second residence), Yes (jail), Yes (other)"
2020,2020_3,Relationship to head of family,Family,Individual,CC,All respondents,,"Opposite sex spouse, Opposite sex partner, Same sex spouse, Same sex partner, Biological son/daughter, Adopted son/daughter, Stepson/daughter, Brother/sister, Father/mother, Grandchild, Parent-in-law, Son-/daughter-in-law, Other relative, Housemate/roommate, Foster child, Other nonrelative"
2020,2020_4,Sex,Identity,Individual,CC,All respondents,,"Male, Female"
2020,2020_5,Date of birth / age,Identity,Individual,FN,All respondents,,
2020,2020_7,Race,Race,Individual,CC,All respondents,,"White (specify), Black/African American (specify), American Indian or Alaska Native (specify), Chinese, Vietnamese, Native Hawaiian, Filipino, Korean, Samoan, Asian Indian, Japanese, Chamorro, Other Asian (specify), Other Pacific Islander (specify), Other (specify)"
2020,2020_6,Hispanic origin,Race,Individual,CC,All respondents,,"No, Yes (Mexican/Chicano), Yes (Puerto Rican), Yes (Cuban), Yes (other - specify)"
1940,1940_H3,Race of head of household,Housing+,Household,CC,All respondents,,"White, Negro, Other"
1940,1940_H4,number of people living here,Housing+,Household,FN,All respondents,,
1940,1940_H5,Farm,Housing+,Household,BN,All respondents,,
1940,1940_H6,Rent or own,Housing+,Household,CC,All respondents,,"Owned, Rented"
1940,1940_H7,Value of home or monthly rent,Housing+,Household,FM,All respondents,,
1940,1940_H8,Type of structure,Housing+,Household,CC,All respondents,,"1 family (detached), 1 family (attached), 2 family (side-by-side), 2 family (other), 3 or more families (no business), Structure with business, Other"
1940,1940_H9,Original purpose,Housing+,Household,CC,All respondents,,"Residential (same # of units), Residential (different # of units), Non-residential"
1940,1940_H10,Exterior material,Housing+,Household,CC,All respondents,,"Wood, Brick, Stucco, Other"
1940,1940_H11,In need of repairs,Housing+,Household,BN,All respondents,,
1940,1940_H12,Year built,Housing+,Household,FD,All respondents,,
1940,1940_H13,number of rooms,Housing+,Household,FN,All respondents,,
1940,1940_H14,Water supply,Housing+,Household,CC,All respondents,,"Running, hand pump, Within 50 feet (running), Within 50 feet (other), None within 50 feet"
1940,1940_H15,Toilet,Housing+,Household,CC,All respondents,,"Flush inside (exclusive), Flush inside (shared), Nonflush inside, Outside, None"
1940,1940_H16,Bathtub or shower,Housing+,Household,CC,All respondents,,"Exclusive, Shared, None"
1940,1940_H17,Lighting,Housing+,Household,CC,All respondents,,"Electric, Gas, Kerosene, Other"
1940,1940_H18,Refrigeration,Housing+,Household,CC,All respondents,,"Mechanical, Ice, Other, None"
1940,1940_H19,Radio set,Housing+,Household,BN,All respondents,,
1940,1940_H20,Heating,Housing+,Household,CC,All respondents,,"Steam/hot water, Piped warm air, Pipeless warm air, Stove, Other/none"
1940,1940_H21,Heating fuel,Housing+,Household,CC,All respondents,,"Coal, Wood, Gas, Electric, Fuel oil, Kerosene, Other, None"
1940,1940_H22,Cooking fuel,Housing+,Household,CC,All respondents,,"Coal, Wood, Gas, Electric, Kerosene, Other, None"
1940,1940_H23a,Furniture included,Housing+,Household,BN,"Rented, non-farm",,
1940,1940_H23b,Rent without furniture,Housing+,Household,FM,"Rented, non-farm",,
1940,1940_H24a,Monthly cost of electricity,Housing+,Household,FM,"Rented, non-farm",,
1940,1940_H24b,Monthly cost of gas,Housing+,Household,FM,"Rented, non-farm",,
1940,1940_H24c,Monthly cost of other fuel,Housing+,Household,FM,"Rented, non-farm",,
1940,1940_H24d,Monthly cost of water,Housing+,Household,FM,"Rented, non-farm",,
1940,1940_H25a,Value of real estate,Housing+,Household,FM,"Owner occupied, non-farm",,
1940,1940_H25b,number of dwelling units,Housing+,Household,FN,"Owner occupied, non-farm",,
1940,1940_H26a,Mortgaged,Housing+,Household,BN,"Owner occupied, non-farm",,
1940,1940_H26b,Debt on first mortgage,Housing+,Household,FM,"Owner occupied, non-farm",,
1940,1940_H26c,Debt on second mortgage,Housing+,Household,FM,"Owner occupied, non-farm",,
1940,1940_H27a,Regular mortgage payments,Housing+,Household,CC,"Owner occupied, non-farm",,"Monthly, Quarterly, Semiannual, Annual, Other, None"
1940,1940_H27b,Mortgage payment amount,Housing+,Household,FM,"Owner occupied, non-farm",,
1940,1940_H28,Payments reduce principal,Housing+,Household,BN,"Owner occupied, non-farm",,
1940,1940_H29,Payments include real estate taxes,Housing+,Household,BN,"Owner occupied, non-farm",,
1940,1940_H30,Interest rate,Housing+,Household,FN,"Owner occupied, non-farm",,
1940,1940_H31,Holder of mortgage,Housing+,Household,CC,"Owner occupied, non-farm",,"Building and loan, Commercial bank, Savings bank, Life insurance, Mortgage company, Home Owner's Loan Corporation, Individual, Other"
1950,1950_H3,Type of living quarters,Housing+,Household,CC,All respondents,,"House/apartment/flat, Trailer, Tent/boat/railroad car, Nondwelling unit"
1950,1950_H4,Type of structure,Housing+,Household,CC,All respondents,,"Detached, Semidetached, Attached"
1950,1950_H5,number of dwelling units,Housing+,Household,FN,All respondents,,
1950,1950_H6,Business unit in structure,Housing+,Household,BN,All respondents,,
1950,1950_H7,Condition,Housing+,Household,CC,All respondents,,"Not dilapidated, Dilapidated"
1950,1950_H8,Any additional people,Housing+,Household,FN,All respondents,,
1950,1950_H9,number of rooms,Housing+,Household,FN,All respondents,,
1950,1950_H10,Water supply,Housing+,Household,CC,All respondents,,"Hot and cold piped inside, Only cold piped inside, Piped outside, No piped"
1950,1950_H11,Toilet,Housing+,Household,CC,All respondents,,"Flush inside, Flush outside, Privy/outhouse, No toilet"
1950,1950_H12,Toilet sharing,Housing+,Household,CC,All respondents,,"Exclusive, Shared, None"
1950,1950_H13,Bathtub or shower,Housing+,Household,CC,All respondents,,"Exclusive, Shared, None"
1950,1950_H14d,Kitchen sink,Housing+,Household,CC,All respondents,,"Exclusive, Shared, None"
1950,1950_H15d,Cooking fuel,Housing+,Household,CC,All respondents,,"Coal, Wood, Gas (utility), Gas (bottled), Liquid fuel, Electricity, Other, None, Vacant"
1950,1950_H14e,Year built,Housing+,Household,FD,All respondents,,
1950,1950_H14a,Heating,Housing+,Household,CC,All respondents,,"Steam/hot water, Warm air, Other (flue), Other (no flue), None, Vacant"
1950,1950_H15a,Heating fuel,Housing+,Household,CC,All respondents,,"Coal, Wood, Gas (utility), Gas (bottled), Liquid fuel, Electricity, Other, None, Vacant"
1950,1950_H14b,Electric lighting,Housing+,Household,BN,All respondents,,
1950,1950_H15b,Refrigeration,Housing+,Household,CC,All respondents,,"Electric/gas, Ice, Other, None, Vacant"
1950,1950_H14c,Radio set,Housing+,Household,BN,All respondents,,
1950,1950_H15c,Television set,Housing+,Household,BN,All respondents,,
1950,1950_H16a,Occupied status,Housing+,Household,CC,All respondents,,"By owner, By renter, Rent free"
1950,1950_H16b,Vacant status,Housing+,Household,CC,All respondents,,"For rent, For sale, Neither"
1950,1950_H17,Seasonality,Housing+,Household,CC,Vacant units,,"Non-seasonal, Seasonal"
1950,1950_H18,Asking rent,Housing+,Household,FM,"Vacant, non-farm",,
1950,1950_H19,Asking price,Housing+,Household,FM,"Vacant, non-farm",,
1950,1950_H20,Value of real estate,Housing+,Household,FM,"Owner occupied, non-farm",,
1950,1950_H21,number of dwelling units,Housing+,Household,FN,"Owner occupied, non-farm",,
1950,1950_H22,Mortgaged,Housing+,Household,BN,"Owner occupied, non-farm",,
1950,1950_H23,Monthly rent,Housing+,Household,FD,"Renter occupied, non-farm",,
1950,1950_H24a,Monthly cost of electricity,Housing+,Household,FM,All respondents,,
1950,1950_H24b,Monthly cost of gas,Housing+,Household,FM,All respondents,,
1950,1950_H24c,Monthly cost of water,Housing+,Household,FM,All respondents,,
1950,1950_H24d,Yearly cost of wood/coal/oil,Housing+,Household,FM,All respondents,,
1950,1950_H25,Furniture included,Housing+,Household,CC,"Renter occupied, non-farm",,"Unfurnished, Furnished"
1950,1950_H26,Rent without furniture,Housing+,Household,FM,"Renter occupied, non-farm",,
1960,1960_H17,Land area,Housing+,Household,CC,All respondents,,"City lot/apartment building, Less than 10 acres, More than 10 acres"
1960,1960_H18a,Farm products sales last year (small),Housing+,Household,CC,Land less than 10 acres,,"$250 or more, Less than $250"
1960,1960_H18b,Farm products sales last year (large),Housing+,Household,CC,Land more than 10 acres,,"$50 or more, Less than $50"
1960,1960_H19,number of bedrooms,Housing+,Household,CC,All respondents,,"No bedroom, 1, 2, 3, 4 or more"
1960,1960_H20,Year built,Housing+,Household,CC,All respondents,,"1959 or 1960, 1955 to 1958, 1950 to 1954, 1940 to 1949, 1930 to 1939, 1929 or earlier"
1960,1960_H21,Heating,Housing+,Household,CC,All respondents,,"Steam/hot water, Warm air, Furnace, Built-in electric, Room heater (flue), Room heater (no flue), Other, None"
1960,1960_H22a,Heating fuel,Housing+,Household,CC,All respondents,,"Coal, Wood, Utility gas, Bottled gas, Electric, Fuel oil, Other fuel, No fuel"
1960,1960_H22b,Cooking fuel,Housing+,Household,CC,All respondents,,"Coal, Wood, Utility gas, Bottled gas, Electric, Fuel oil, Other fuel, No fuel"
1960,1960_H22c,Water heating fuel,Housing+,Household,CC,All respondents,,"Coal, Wood, Utility gas, Bottled gas, Electric, Fuel oil, Other fuel, No fuel"
1960,1960_H23,Washing machine,Housing+,Household,CC,All respondents,,"Machine with separate spinner, Automatic machine, Washer-dryer combination, None"
1960,1960_H24,Clothes dryer,Housing+,Household,CC,All respondents,,"Electric heated, Gas heated, None"
1960,1960_H25,Television set,Housing+,Household,CC,All respondents,,"1 set, 2 or more, None"
1960,1960_H26,Radio set,Housing+,Household,CC,All respondents,,"1 radio, 2 or more, None"
1960,1960_H27,Air conditioning,Housing+,Household,CC,All respondents,,"1 unit, 2 units, Central air, None"
1960,1960_H28,Separate freezer,Housing+,Household,BN,All respondents,,
1960,1960_H30,Bathroom,Housing+,Household,CC,All respondents,,"None, 1 full bath, 1 full plus half bath(s), 2 or more full"
1960,1960_H31,Water supply,Housing+,Household,CC,All respondents,,"Public/private system, Individual well, Other"
1960,1960_H32,Sewer,Housing+,Household,CC,All respondents,,"Yes, No (septic), No (other)"
1960,1960_H33,Basement,Housing+,Household,CC,All respondents,,"Basement, Concrete Slab, Other"
1960,1960_H34,Height,Housing+,Household,CC,All respondents,,"3 stories or less, 4 or more (elevator), 4 or more (walk-up)"
1960,1960_H35,Telephone,Housing+,Household,BN,All respondents,,
1960,1960_H36,number of automobiles here,Housing+,Household,CC,All respondents,,"None, 1, 2, 3 or more"
1960,1960_H37,Trailer mobility,Housing+,Household,CC,All respondents,,"Mobile, Permanent foundation"
1960,1960_H40,Value of real estate,Housing+,Household,CC,"Owner occupied, less than 10 acres",,"Less than $5K, $5K to $7.4K, $7.5K to $9.9K, $10K to $12.4K, $12.5K to $14.9K, $15K to $17.4K, $17.5K to $19.9K, $20K to $24.9K, $25 to $34.9K, $35K or more"
1960,1960_H41,Monthly rent,Housing+,Household,FM,Renter occupied,,
1960,1960_H42,Rent includes farmland,Housing+,Household,BN,Renter occupied,,
1960,1960_H43a,Electricity paid for,Housing+,Household,BN,Renter occupied,,
1960,1960_H44a,Monthly cost of electricity,Housing+,Household,FM,Renter occupied,,
1960,1960_H43b,Gas paid for,Housing+,Household,BN,Renter occupied,,
1960,1960_H44b,Monthly cost of gas,Housing+,Household,FM,Renter occupied,,
1960,1960_H43c,Water paid for,Housing+,Household,BN,Renter occupied,,
1960,1960_H44c,Monthly cost of water,Housing+,Household,FM,Renter occupied,,
1960,1960_H45,Wood/coal/oil paid for,Housing+,Household,BN,Renter occupied,,
1960,1960_H46,Yearly cost of wood/coal/oil,Housing+,Household,FM,Renter occupied,,
1970,1970_HA,number of dwelling units,Housing+,Household,CC,All respondents,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10 or more, Mobile home/trailer"
1970,1970_H1a,Telephone,Housing+,Household,BN,All respondents,,
1970,1970_H1b,Telephone number,Housing+,Household,FN,All respondents,,
1970,1970_H2,Entrance,Housing+,Household,CC,All respondents,,"Direct/common entry, Through someone else's quarters"
1970,1970_H3,Kitchen facilities,Housing+,Household,CC,All respondents,,"Yes (exclusive), Yes (shared), No"
1970,1970_H4,number of rooms,Housing+,Household,CC,All respondents,,"1, 2, 3, 4, 5, 6, 7, 8, 9 or more"
1970,1970_H5,Water supply,Housing+,Household,CC,All respondents,,"Hot and cold piped, Cold only piped, No piped water"
1970,1970_H6,Toilet,Housing+,Household,CC,All respondents,,"Yes (exclusive), Yes (shared), No"
1970,1970_H7,Bathtub or shower,Housing+,Household,CC,All respondents,,"Yes (exclusive), Yes (shared), No"
1970,1970_H8,Basement,Housing+,Household,CC,All respondents,,"Yes, No (concrete slab), No (other)"
1970,1970_H9,Rent or own,Housing+,Household,CC,All respondents,,"Owned (outright), Owned (coop or condo), Rented, Occupied without rent"
1970,1970_H10a,One-family house,Housing+,Household,BN,All respondents,,
1970,1970_H10b,Land area or commercial,Housing+,Household,CC,All respondents,,"Yes (10 acres or more), Yes (commercial), No"
1970,1970_H11,Value of real estate,Housing+,Household,CC,"Owner occupied, less than 10 acres, no commercial",,"Less than $5K, $5K to $7.5K, $7.5K to $10K, $10K to $12.5K, $12.5K to $15K, $15K to $17.5K, $17.5K to $20K, $20K to $25K, $25K to $30K, $35K to $50K, $50K or more"
1970,1970_H12,Monthly rent,Housing+,Household,CC,Renter occupied,,"Less than $30, $30 to $39, $40 to $49, $50 to $59, $60 to $69, $70 to $79, $80 to $89, $90 to $99, $100 to $119, $120 to $149, $150 to $199, $200 to $250, $250 to $299, $300 or more"
1970,1970_H13a,Electricity paid for,Housing+,Household,CC,All respondents,,"Yes (if so, how much?), No (included), No (not used)"
1970,1970_H13b,Gas paid for,Housing+,Household,CC,All respondents,,"Yes (if so, how much?), No (included), No (not used)"
1970,1970_H13c,Water paid for,Housing+,Household,CC,All respondents,,"Yes (if so, how much?), No (included), No (not used)"
1970,1970_H13d,Wood/coal/oil paid for,Housing+,Household,CC,All respondents,,"Yes (if so, how much?), No (included), No (not used)"
1970,1970_H14,Heating,Housing+,Household,CC,All respondents,,"Steam/hot water, Warm air, Built-in electric, Furnace, Room heater (flue), Room heater (no flue), Fireplaces, Other, None"
1970,1970_H15,Year built,Housing+,Household,CC,All respondents,,"1969 or 1970, 1965 to 1968, 1960 to 1964, 1950 to 1959, 1940 to 1949, 1939 or earlier"
1970,1970_H16,Type of structure,Housing+,Household,CC,All respondents,,"One-family (detached), One-family (attached), 2-family building, 3-/4-family building, 5- to 9-family building, 10- to 19-family building, 20- to 49-family building, 50- or more family building, Mobile home/trailer, Other"
1970,1970_H17,Land area,Housing+,Household,CC,All respondents,,"City lot, Less than 10 acres, 10 or more acres"
1970,1970_H18,Farm products sales last year,Housing+,Household,CC,No city lots,,"Less than $50, $50 to $249, $250 to $2.5K, $2.5K to $5K, $5K to $10K, $10K or more"
1970,1970_H19,Water supply,Housing+,Household,CC,All respondents,,"Public/private system, Individual well, Other"
1970,1970_H20,Sewer,Housing+,Household,CC,All respondents,,"Yes, No (septic), No (other)"
1970,1970_H21,Bathroom,Housing+,Household,CC,All respondents,,"None or half only, 1 full, 1 full plus half bath(s), 2 full, 2 full plus half bath(s), 3 or more full"
1970,1970_H22,Air conditioning,Housing+,Household,CC,All respondents,,"Yes (1 unit), Yes (2 or more units), Yes (central), None"
1970,1970_H23,number of automobiles here,Housing+,Household,CC,All respondents,,"None, 1, 2, 3 or more"
1970,1970_H24a,Height,Housing+,Household,CC,All respondents,,"1 to 3, 4 to 6, 7 to 12, 13 or more"
1970,1970_H24b,Elevator,Housing+,Household,BN,All respondents,,
1970,1970_H25a,Cooking fuel,Housing+,Household,CC,All respondents,,"Utility gas, Bottled gas, Electric, Fuel oil, Coal, Wood, Other, None"
1970,1970_H25b,Heating fuel,Housing+,Household,CC,All respondents,,"Utility gas, Bottled gas, Electric, Fuel oil, Coal, Wood, Other, None"
1970,1970_H25c,Water heating fuel,Housing+,Household,CC,All respondents,,"Utility gas, Bottled gas, Electric, Fuel oil, Coal, Wood, Other, None"
1970,1970_H26,number of bedrooms,Housing+,Household,CC,All respondents,,"None, 1, 2, 3, 4, 5 or more"
1970,1970_H27a,Washing machine,Housing+,Household,CC,All respondents,,"Yes (automatic), Yes (separate spinner), No"
1970,1970_H27b,Clothes dryer,Housing+,Household,CC,All respondents,,"Yes (electric), Yes (gas), No"
1970,1970_H27b,Dishwasher,Housing+,Household,BN,All respondents,,
1970,1970_H27d,Separate freezer,Housing+,Household,BN,All respondents,,
1970,1970_H28a,Television set,Housing+,Household,CC,All respondents,,"One set, 2 or more sets, No"
1970,1970_H28b,TV receives UHF,Housing+,Household,BN,All respondents,,
1970,1970_H29,Battery-operated radio,Housing+,Household,BN,All respondents,,
1970,1970_H30,Second home,Housing+,Household,BN,All respondents,,
1980,1980_H1-3,Any additional people,Housing+,Household,BN,All respondents,,
1980,1980_H4,number of dwelling units,Housing+,Household,CC,All respondents,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10 or more, Mobile home/trailer"
1980,1980_H5,Entrance,Housing+,Household,CC,All respondents,,"Direct/common entry, Through someone else's quarters"
1980,1980_H6,Full plumbing,Housing+,Household,CC,All respondents,,"Yes (exclusive), Yes (shared), No (some facilities), No facilities"
1980,1980_H7,number of rooms,Housing+,Household,CC,All respondents,,"1, 2, 3, 4, 5, 6, 7, 8, 9 or more"
1980,1980_H8,Rent or own,Housing+,Household,CC,All respondents,,"Owned, Rented, Occupied without rent"
1980,1980_H9,Condo,Housing+,Household,BN,All respondents,,
1980,1980_H10a,Land area,Housing+,Household,BN,All respondents,,
1980,1980_H10b,Commercial use,Housing+,Household,BN,All respondents,,
1980,1980_H11,Value of real estate,Housing+,Household,CC,"Owner occupied, less than 10 acres, no commercial",,"Less than $10K, $10K to $15K, $15K to $17.5K, $17.5K to $20K, $20K to $22.5K, $22.5K to $25K, $25K to $27.5K, $27.5K to $30K, $30K to $35K, $35K to $40K, $40K to $45K, $45K to $50K, $50K to $55K, $55K to $60K, $60K to $65K, $65K to $70K, $70K to $75K, $75K to $80K, $80K to $90K, $90K to $100K, $100K to $125K, $125K to $150K, $150K to $200K, $200K or more"
1980,1980_H12,Monthly rent,Housing+,Household,CC,Renter occupied,,"Less than $50, $50 to $59, $60 to $69, $70 to $79, $80 to $89, $90 to $99, $100 to $109, $110 to $119, $120 to $129, $130 to $139, $140 to $149, $150 to $159, $160 to $169, $170 to $179, $180 to $189, $190 to $199, $200 to $224, $225 to $249, $250 to $274, $275 to $299, $300 to $349, $350 to $399, $400 to $499, $500 or more"
1980,1980_H13,Type of structure,Housing+,Household,CC,All respondents,,"Mobile home/trailer, One-family (detached), One-family (attached), 2-family building, 3- or 4-family building, 5- to 9-family building, 10- to 19-family building, 20- to 49-family building, 50- or more family building, Boat/tent/van"
1980,1980_H14a,Height,Housing+,Household,CC,All respondents,,"1 to 3, 4 to 6, 7 to 12, 13 or more"
1980,1980_H14b,Elevator,Housing+,Household,BN,All respondents,,
