index,year,level,sport,winner,winner_metro,runner_up,runner_up_metro,final_four3,final_four3_metro,final_four4,final_four4_metro
414,1967,pro,NHL,Toronto Maple Leafs,"Toronto, ON",Montreal Canadiens,"Montreal, QC",New York Rangers,New York Metro Area,Chicago Black Hawks,"Chicago, IL"
415,1967,college,Baseball (M),Arizona State Sun Devils,"Metro Phoenix, AZ",Houston Cougars,"Houston, TX",Stanford Cardinal,"San Francisco Bay Area, CA",Auburn Tigers,"Auburn, AL"
416,1967,pro,MLB,St. Louis Cardinals,"St. Louis, MO",Boston Red Sox,"Greater Boston, MA",Detroit Tigers,"Metro Detroit, MI",San Francisco Giants,"San Francisco Bay Area, CA"
417,1967,pro,CFL,Hamilton Tiger-Cats,"Hamilton, ON",Saskatchewan Roughriders,"Regina, SK",Calgary Stampeders,"Calgary, AB",Ottawa Rough Riders,"Ottawa, ON"
418,1968,college,Football (M),USC Trojans,"Greater Los Angeles, CA",,,,,,
419,1968,pro,NFL,Green Bay Packers,"Green Bay, WI",Oakland Raiders,"San Francisco Bay Area, CA",Dallas Cowboys,"Dallas-Fort Worth, TX",Los Angeles Rams,"Greater Los Angeles, CA"
420,1968,college,Basketball (M),UCLA Bruins,"Greater Los Angeles, CA",North Carolina Tar Heels,"Greater Raleigh, NC",Ohio State Buckeyes,"Columbus, OH",Houston Cougars,"Houston, TX"
421,1968,pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",San Francisco Warriors,"San Francisco Bay Area, CA",Philadelphia 76ers,"Greater Philadelphia, PA"
422,1968,pro,NHL,Montreal Canadiens,"Montreal, QC",St. Louis Blues,"St. Louis, MO",Minnesota North Stars,"Twin Cities, MN",Chicago Black Hawks,"Chicago, IL"
423,1968,college,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Southern Illinois Salukis,"Carbondale, IL",North Carolina State Wolfpack,"Greater Raleigh, NC",St. John's Red Storm,New York Metro Area
424,1968,pro,MLB,Detroit Tigers,"Metro Detroit, MI",St. Louis Cardinals,"St. Louis, MO",Baltimore Orioles,"Baltimore, MD",San Francisco Giants,"San Francisco Bay Area, CA"
425,1968,pro,CFL,Ottawa Rough Riders,"Ottawa, ON",Calgary Stampeders,"Calgary, AB",Saskatchewan Roughriders,"Regina, SK",Toronto Argonauts,"Toronto, ON"
426,1969,college,Football (M),Ohio State Buckeyes,"Columbus, OH",,,,,,
427,1969,pro,NFL,New York Jets,New York Metro Area,Baltimore Colts,"Baltimore, MD",Cleveland Browns,"Cleveland, OH",Minnesota Vikings,"Twin Cities, MN"
428,1969,college,Basketball (M),UCLA Bruins,"Greater Los Angeles, CA",Purdue Boilermakers,"West Lafayette, IN",Drake Bulldogs,"Des Moines, IA",North Carolina Tar Heels,"Greater Raleigh, NC"
429,1969,pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",Atlanta Hawks,"Atlanta, GA",New York Knicks,New York Metro Area
430,1969,pro,NHL,Montreal Canadiens,"Montreal, QC",St. Louis Blues,"St. Louis, MO",Los Angeles Kings,"Greater Los Angeles, CA",Boston Bruins,"Greater Boston, MA"
431,1969,college,Baseball (M),Arizona State Sun Devils,"Metro Phoenix, AZ",Tulsa Golden Hurricane,"Tulsa, OK",New York University Violets,New York Metro Area,Texas Longhorns,"Austin, TX"
432,1969,pro,MLB,New York Mets,New York Metro Area,Baltimore Orioles,"Baltimore, MD",Minnesota Twins,"Twin Cities, MN",Atlanta Braves,"Atlanta, GA"
433,1969,pro,CFL,Ottawa Rough Riders,"Ottawa, ON",Saskatchewan Roughriders,"Regina, SK",Calgary Stampeders,"Calgary, AB",Toronto Argonauts,"Toronto, ON"
434,1970,college,Football (M),Texas Longhorns,"Austin, TX",,,,,,
435,1970,pro,NFL,Kansas City Chiefs,"Kansas City, MO",Minnesota Vikings,"Twin Cities, MN",Cleveland Browns,"Cleveland, OH",Dallas Cowboys,"Dallas-Fort Worth, TX"
436,1970,college,Basketball (M),UCLA Bruins,"Greater Los Angeles, CA",Jacksonville Dolphins,"Jacksonville, FL",New Mexico State Aggies,"Las Cruces, NM",St. Bonaventure Bonnies,"Allegany, NY"
437,1970,pro,NBA,New York Knicks,New York Metro Area,Los Angeles Lakers,"Greater Los Angeles, CA",Atlanta Hawks,"Atlanta, GA",Milwaukee Bucks,"Milwaukee, WI"
438,1970,pro,NHL,Boston Bruins,"Greater Boston, MA",St. Louis Blues,"St. Louis, MO",Pittsburgh Penguins,"Pittsburgh, PA",Chicago Black Hawks,"Chicago, IL"
439,1970,college,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Florida State Seminoles,"Tallahassee, FL",Texas Longhorns,"Austin, TX",Ohio Bobcats,"Athens, OH"
440,1970,pro,MLB,Baltimore Orioles,"Baltimore, MD",Cincinnati Reds,"Cincinnati, OH",Minnesota Twins,"Twin Cities, MN",Pittsburgh Pirates,"Pittsburgh, PA"
441,1970,pro,CFL,Montreal Alouettes,"Montreal, QC",Calgary Stampeders,"Calgary, AB",Saskatchewan Roughriders,"Regina, SK",Hamilton Tiger-Cats,"Hamilton, ON"
442,1971,college,Football (M),Texas Longhorns,"Austin, TX",,,,,,
443,1971,college,Football (M),Nebraska Cornhuskers,"Lincoln, NE",,,,,,
444,1971,college,Football (M),Ohio State Buckeyes,"Columbus, OH",,,,,,
445,1971,pro,NFL,Baltimore Colts,"Baltimore, MD",Dallas Cowboys,"Dallas-Fort Worth, TX",Oakland Raiders,"San Francisco Bay Area, CA",San Francisco 49ers,"San Francisco Bay Area, CA"
446,1971,college,Basketball (M),UCLA Bruins,"Greater Los Angeles, CA",Villanova Wildcats,"Greater Philadelphia, PA",Western Kentucky Hilltoppers,"Bowling Green, KY",Kansas Jayhawks,"Lawrence, KS"
447,1971,pro,NBA,Milwaukee Bucks,"Milwaukee, WI",Baltimore Bullets,"Baltimore, MD",Los Angeles Lakers,"Greater Los Angeles, CA",New York Knicks,New York Metro Area
448,1971,pro,NHL,Montreal Canadiens,"Montreal, QC",Chicago Black Hawks,"Chicago, IL",New York Rangers,New York Metro Area,Minnesota North Stars,"Twin Cities, MN"
449,1971,college,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Southern Illinois Salukis,"Carbondale, IL",Tulsa Golden Hurricane,"Tulsa, OK",UTRGV Vaqueros,"Edinburg, TX"
450,1971,pro,MLB,Pittsburgh Pirates,"Pittsburgh, PA",Baltimore Orioles,"Baltimore, MD",Oakland Athletics,"San Francisco Bay Area, CA",San Francisco Giants,"San Francisco Bay Area, CA"
451,1971,pro,CFL,Calgary Stampeders,"Calgary, AB",Toronto Argonauts,"Toronto, ON",Saskatchewan Roughriders,"Regina, SK",Hamilton Tiger-Cats,"Hamilton, ON"
452,1972,college,Football (M),Nebraska Cornhuskers,"Lincoln, NE",,,,,,
453,1972,pro,NFL,Dallas Cowboys,"Dallas-Fort Worth, TX",Miami Dolphins,"Greater Miami Area, FL",Baltimore Colts,"Baltimore, MD",San Francisco 49ers,"San Francisco Bay Area, CA"
454,1972,college,Basketball (M),UCLA Bruins,"Greater Los Angeles, CA",Florida State Seminoles,"Tallahassee, FL",North Carolina Tar Heels,"Greater Raleigh, NC",Louisville Cardinals,"Louisville, KY"
455,1972,pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",New York Knicks,New York Metro Area,Milwaukee Bucks,"Milwaukee, WI",Boston Celtics,"Greater Boston, MA"
456,1972,pro,NHL,Boston Bruins,"Greater Boston, MA",New York Rangers,New York Metro Area,Chicago Black Hawks,"Chicago, IL",St. Louis Blues,"St. Louis, MO"
457,1972,college,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Arizona State Sun Devils,"Metro Phoenix, AZ",Temple Owls,"Greater Philadelphia, PA",Texas Longhorns,"Austin, TX"
458,1972,pro,MLB,Oakland Athletics,"San Francisco Bay Area, CA",Cincinnati Reds,"Cincinnati, OH",Detroit Tigers,"Metro Detroit, MI",Pittsburgh Pirates,"Pittsburgh, PA"
459,1972,pro,CFL,Hamilton Tiger-Cats,"Hamilton, ON",Saskatchewan Roughriders,"Regina, SK",Winnipeg Blue Bombers,"Winnipeg, MB",Ottawa Rough Riders,"Ottawa, ON"
460,1973,college,Football (M),USC Trojans,"Greater Los Angeles, CA",,,,,,
461,1973,pro,NFL,Miami Dolphins,"Greater Miami Area, FL",Washington Redskins,"Washington, DC Metro Area",Pittsburgh Steelers,"Pittsburgh, PA",Dallas Cowboys,"Dallas-Fort Worth, TX"
462,1973,college,Basketball (M),UCLA Bruins,"Greater Los Angeles, CA",Memphis Tigers,"Memphis, TN",Indiana Hoosiers,"Bloomington, IN",Providence Friars,"Providence, RI"
463,1973,pro,NBA,New York Knicks,New York Metro Area,Los Angeles Lakers,"Greater Los Angeles, CA",Golden State Warriors,"San Francisco Bay Area, CA",Boston Celtics,"Greater Boston, MA"
464,1973,pro,NHL,Montreal Canadiens,"Montreal, QC",Chicago Black Hawks,"Chicago, IL",New York Rangers,New York Metro Area,Philadelphia Flyers,"Greater Philadelphia, PA"
465,1973,college,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Arizona State Sun Devils,"Metro Phoenix, AZ",Minnesota Golden Gophers,"Twin Cities, MN",Texas Longhorns,"Austin, TX"
466,1973,pro,MLB,Oakland Athletics,"San Francisco Bay Area, CA",New York Mets,New York Metro Area,Baltimore Orioles,"Baltimore, MD",Cincinnati Reds,"Cincinnati, OH"
467,1973,pro,CFL,Ottawa Rough Riders,"Ottawa, ON",Edmonton Eskimos,"Edmonton, AB",Saskatchewan Roughriders,"Regina, SK",Montreal Alouettes,"Montreal, QC"
468,1974,college,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,
469,1974,college,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,
470,1974,pro,NFL,Miami Dolphins,"Greater Miami Area, FL",Minnesota Vikings,"Twin Cities, MN",Oakland Raiders,"San Francisco Bay Area, CA",Dallas Cowboys,"Dallas-Fort Worth, TX"
471,1974,college,Basketball (M),North Carolina State Wolfpack,"Greater Raleigh, NC",Marquette Golden Eagles,"Milwaukee, WI",UCLA Bruins,"Greater Los Angeles, CA",Kansas Jayhawks,"Lawrence, KS"
472,1974,pro,NBA,Boston Celtics,"Greater Boston, MA",Milwaukee Bucks,"Milwaukee, WI",Chicago Bulls,"Chicago, IL",New York Knicks,New York Metro Area
473,1974,pro,NHL,Philadelphia Flyers,"Greater Philadelphia, PA",Boston Bruins,"Greater Boston, MA",New York Rangers,New York Metro Area,Chicago Black Hawks,"Chicago, IL"
474,1974,college,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Miami Hurricanes,"Greater Miami Area, FL",Southern Illinois Salukis,"Carbondale, IL",Texas Longhorns,"Austin, TX"
475,1974,pro,MLB,Oakland Athletics,"San Francisco Bay Area, CA",Los Angeles Dodgers,"Greater Los Angeles, CA",Baltimore Orioles,"Baltimore, MD",Pittsburgh Pirates,"Pittsburgh, PA"
476,1974,pro,CFL,Montreal Alouettes,"Montreal, QC",Edmonton Eskimos,"Edmonton, AB",Saskatchewan Roughriders,"Regina, SK",Ottawa Rough Riders,"Ottawa, ON"
477,1975,college,Football (M),Oklahoma Sooners,"Oklahoma City, OK",,,,,,
478,1975,college,Football (M),USC Trojans,"Greater Los Angeles, CA",,,,,,
479,1975,pro,NFL,Pittsburgh Steelers,"Pittsburgh, PA",Minnesota Vikings,"Twin Cities, MN",Oakland Raiders,"San Francisco Bay Area, CA",Los Angeles Rams,"Greater Los Angeles, CA"
480,1975,college,Basketball (M),UCLA Bruins,"Greater Los Angeles, CA",Kentucky Wildcats,"Lexington-Fayette, KY",Louisville Cardinals,"Louisville, KY",Syracuse Orange,"Syracuse, NY"
481,1975,pro,NBA,Golden State Warriors,"San Francisco Bay Area, CA",Washington Bullets,"Washington, DC Metro Area",Chicago Bulls,"Chicago, IL",Boston Celtics,"Greater Boston, MA"
482,1975,pro,NHL,Philadelphia Flyers,"Greater Philadelphia, PA",Buffalo Sabres,"Buffalo, NY",Montreal Canadiens,"Montreal, QC",New York Islanders,New York Metro Area
483,1975,college,Baseball (M),Texas Longhorns,"Austin, TX",South Carolina Gamecocks,"Columbia, SC",Arizona Wildcats,"Tucson, AZ",Oklahoma Sooners,"Oklahoma City, OK"
484,1975,pro,MLB,Cincinnati Reds,"Cincinnati, OH",Boston Red Sox,"Greater Boston, MA",Oakland Athletics,"San Francisco Bay Area, CA",Pittsburgh Pirates,"Pittsburgh, PA"
485,1975,pro,CFL,Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC",Saskatchewan Roughriders,"Regina, SK",Ottawa Rough Riders,"Ottawa, ON"
486,1976,college,Football (M),Oklahoma Sooners,"Oklahoma City, OK",,,,,,
487,1976,pro,NFL,Pittsburgh Steelers,"Pittsburgh, PA",Dallas Cowboys,"Dallas-Fort Worth, TX",Oakland Raiders,"San Francisco Bay Area, CA",Los Angeles Rams,"Greater Los Angeles, CA"
488,1976,college,Basketball (M),Indiana Hoosiers,"Bloomington, IN",Michigan Wolverines,"Ann Arbor, MI",UCLA Bruins,"Greater Los Angeles, CA",Rutgers Scarlet Knights,"New Brunswick, NJ"
489,1976,pro,NBA,Boston Celtics,"Greater Boston, MA",Phoenix Suns,"Metro Phoenix, AZ",Golden State Warriors,"San Francisco Bay Area, CA",Cleveland Cavaliers,"Cleveland, OH"
490,1976,pro,NHL,Montreal Canadiens,"Montreal, QC",Philadelphia Flyers,"Greater Philadelphia, PA",Boston Bruins,"Greater Boston, MA",New York Islanders,New York Metro Area
491,1976,college,Baseball (M),Arizona Wildcats,"Tucson, AZ",Eastern Michigan Eagles,"Ann Arbor, MI",Arizona State Sun Devils,"Metro Phoenix, AZ",Maine Black Bears,"Orono, ME"
492,1976,pro,MLB,Cincinnati Reds,"Cincinnati, OH",New York Yankees,New York Metro Area,Kansas City Royals,"Kansas City, MO",Philadelphia Phillies,"Greater Philadelphia, PA"
493,1976,pro,CFL,Ottawa Rough Riders,"Ottawa, ON",Saskatchewan Roughriders,"Regina, SK",Edmonton Eskimos,"Edmonton, AB",Hamilton Tiger-Cats,"Hamilton, ON"
494,1977,college,Football (M),Pittsburgh Panthers,"Pittsburgh, PA",,,,,,
495,1977,pro,NFL,Oakland Raiders,"San Francisco Bay Area, CA",Minnesota Vikings,"Twin Cities, MN",Pittsburgh Steelers,"Pittsburgh, PA",Los Angeles Rams,"Greater Los Angeles, CA"
496,1977,college,Basketball (M),Marquette Golden Eagles,"Milwaukee, WI",North Carolina Tar Heels,"Greater Raleigh, NC",Nevada-Las Vegas Rebels,"Las Vegas, NV",Charlotte 49ers,"Charlotte Metro Area, NC"
497,1977,pro,NBA,Portland Trail Blazers,"Portland Metro Area, OR",Philadelphia 76ers,"Greater Philadelphia, PA",Los Angeles Lakers,"Greater Los Angeles, CA",Houston Rockets,"Houston, TX"
498,1977,pro,NHL,Montreal Canadiens,"Montreal, QC",Boston Bruins,"Greater Boston, MA",Philadelphia Flyers,"Greater Philadelphia, PA",New York Islanders,New York Metro Area
499,1977,college,Baseball (M),Arizona State Sun Devils,"Metro Phoenix, AZ",South Carolina Gamecocks,"Columbia, SC",Southern Illinois Salukis,"Carbondale, IL",Cal State Los Angeles Golden Eagles,"Greater Los Angeles, CA"
500,1977,pro,MLB,New York Yankees,New York Metro Area,Los Angeles Dodgers,"Greater Los Angeles, CA",Kansas City Royals,"Kansas City, MO",Philadelphia Phillies,"Greater Philadelphia, PA"
501,1977,pro,CFL,Montreal Alouettes,"Montreal, QC",Edmonton Eskimos,"Edmonton, AB",BC Lions,"Vancouver, BC",Ottawa Rough Riders,"Ottawa, ON"
502,1978,college,Football (M),Notre Dame Fighting Irish,"Notre Dame, IN",,,,,,
503,1978,pro,NFL,Dallas Cowboys,"Dallas-Fort Worth, TX",Denver Broncos,"Denver, CO",Oakland Raiders,"San Francisco Bay Area, CA",Minnesota Vikings,"Twin Cities, MN"
504,1978,college,Basketball (M),Kentucky Wildcats,"Lexington-Fayette, KY",Duke Blue Devils,"Greater Raleigh, NC",Arkansas Razorbacks,"Northwest Arkansas, AR",Notre Dame Fighting Irish,"Notre Dame, IN"
505,1978,pro,NBA,Washington Bullets,"Washington, DC Metro Area",Seattle SuperSonics,"Seattle,WA",Denver Nuggets,"Denver, CO",Philadelphia 76ers,"Greater Philadelphia, PA"
506,1978,pro,NHL,Montreal Canadiens,"Montreal, QC",Boston Bruins,"Greater Boston, MA",Philadelphia Flyers,"Greater Philadelphia, PA",Toronto Maple Leafs,"Toronto, ON"
507,1978,college,Baseball (M),USC Trojans,"Greater Los Angeles, CA",Arizona State Sun Devils,"Metro Phoenix, AZ",North Carolina Tar Heels,"Greater Raleigh, NC",Miami Hurricanes,"Greater Miami Area, FL"
508,1978,pro,MLB,New York Yankees,New York Metro Area,Los Angeles Dodgers,"Greater Los Angeles, CA",Kansas City Royals,"Kansas City, MO",Philadelphia Phillies,"Greater Philadelphia, PA"
509,1978,pro,CFL,Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC",Calgary Stampeders,"Calgary, AB",Ottawa Rough Riders,"Ottawa, ON"
510,1979,college,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,
511,1979,college,Football (M),Florida A&M Rattlers,"Tallahassee, FL",Massachusetts Minutemen,"Springfield, MA",,,,
512,1979,college,Football (M),USC Trojans,"Greater Los Angeles, CA",,,,,,
513,1979,pro,NFL,Pittsburgh Steelers,"Pittsburgh, PA",Dallas Cowboys,"Dallas-Fort Worth, TX",Houston Oilers,"Houston, TX",Los Angeles Rams,"Greater Los Angeles, CA"
514,1979,college,Basketball (M),Michigan State Spartans,"East Lansing, MI",Indiana State Sycamores,"Terre Haute, IN",DePaul Blue Demons,"Chicago, IL",Pennsylvania Quakers,"Greater Philadelphia, PA"
515,1979,pro,NBA,Seattle SuperSonics,"Seattle,WA",Washington Bullets,"Washington, DC Metro Area",Phoenix Suns,"Metro Phoenix, AZ",San Antonio Spurs,"San Antonio, TX"
516,1979,pro,NHL,Montreal Canadiens,"Montreal, QC",New York Rangers,New York Metro Area,Boston Bruins,"Greater Boston, MA",New York Islanders,New York Metro Area
517,1979,college,Baseball (M),Cal State Fullerton Titans,"Greater Los Angeles, CA",Arkansas Razorbacks,"Northwest Arkansas, AR",Texas Longhorns,"Austin, TX",Pepperdine Waves,"Greater Los Angeles, CA"
518,1979,pro,MLB,Pittsburgh Pirates,"Pittsburgh, PA",Baltimore Orioles,"Baltimore, MD",California Angels,"Greater Los Angeles, CA",Cincinnati Reds,"Cincinnati, OH"
519,1979,pro,CFL,Edmonton Eskimos,"Edmonton, AB",Montreal Alouettes,"Montreal, QC",Calgary Stampeders,"Calgary, AB",Ottawa Rough Riders,"Ottawa, ON"
520,1980,college,Football (M),Alabama Crimson Tide,"Tuscaloosa, AL",,,,,,
521,1980,college,Football (M),Eastern Kentucky Colonels,"Richmond, KY",Lehigh Mountain Hawks,"Lehigh Valley, NJ-PA",,,,
522,1980,pro,NFL,Pittsburgh Steelers,"Pittsburgh, PA",Los Angeles Rams,"Greater Los Angeles, CA",Houston Oilers,"Houston, TX",Tampa Bay Buccaneers,"Tampa Bay Area, FL"
523,1980,college,Basketball (M),Louisville Cardinals,"Louisville, KY",,,Purdue Boilermakers,"West Lafayette, IN",Iowa Hawkeyes,"Iowa City, IA"
524,1980,pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Philadelphia 76ers,"Greater Philadelphia, PA",Seattle SuperSonics,"Seattle,WA",Boston Celtics,"Greater Boston, MA"
525,1980,pro,NHL,New York Islanders,New York Metro Area,Philadelphia Flyers,"Greater Philadelphia, PA",Buffalo Sabres,"Buffalo, NY",Minnesota North Stars,"Twin Cities, MN"
526,1980,college,Baseball (M),Arizona Wildcats,"Tucson, AZ",Hawaii Warriors,"Honolulu, HI",Miami Hurricanes,"Greater Miami Area, FL",Cal State Los Angeles Golden Eagles,"Greater Los Angeles, CA"
527,1980,pro,MLB,Philadelphia Phillies,"Greater Philadelphia, PA",Kansas City Royals,"Kansas City, MO",New York Yankees,New York Metro Area,Houston Astros,"Houston, TX"
528,1980,pro,CFL,Edmonton Eskimos,"Edmonton, AB",Hamilton Tiger-Cats,"Hamilton, ON",Winnipeg Blue Bombers,"Winnipeg, MB",Montreal Alouettes,"Montreal, QC"
529,1981,college,Football (M),Georgia Bulldogs,"Athens, GA",,,,,,
530,1981,college,Football (M),Boise State Broncos,"Boise City, ID",Eastern Kentucky Colonels,"Richmond, KY",,,,
531,1981,pro,NFL,Oakland Raiders,"San Francisco Bay Area, CA",Philadelphia Eagles,"Greater Philadelphia, PA",San Diego Chargers,"San Diego, CA",Dallas Cowboys,"Dallas-Fort Worth, TX"
532,1981,college,Basketball (M),Indiana Hoosiers,"Bloomington, IN",North Carolina Tar Heels,"Greater Raleigh, NC",Virginia Cavaliers,"Charlottesville, VA",LSU Fighting Tigers,"Baton Rouge, LA"
533,1981,pro,NBA,Boston Celtics,"Greater Boston, MA",Houston Rockets,"Houston, TX",Kansas City Kings,"Kansas City, MO",Philadelphia 76ers,"Greater Philadelphia, PA"
534,1981,pro,NHL,New York Islanders,New York Metro Area,Minnesota North Stars,"Twin Cities, MN",Calgary Flames,"Calgary, AB",New York Rangers,New York Metro Area
535,1981,college,Baseball (M),Arizona State Sun Devils,"Metro Phoenix, AZ",Oklahoma State Cowboys,"Stillwater, OK",Texas Longhorns,"Austin, TX",South Carolina Gamecocks,"Columbia, SC"
536,1981,pro,MLB,Los Angeles Dodgers,"Greater Los Angeles, CA",New York Yankees,New York Metro Area,Oakland Athletics,"San Francisco Bay Area, CA",Montreal Expos,"Montreal, QC"
537,1981,pro,CFL,Edmonton Eskimos,"Edmonton, AB",Ottawa Rough Riders,"Ottawa, ON",BC Lions,"Vancouver, BC",Hamilton Tiger-Cats,"Hamilton, ON"
538,1981,college,Volleyball (W),South Carolina Gamecocks,"Columbia, SC",UCLA Bruins,"Greater Los Angeles, CA",San Diego State Aztecs,"San Diego, CA",Pacific Tigers,"Stockton, CA"
539,1982,college,Football (M),Clemson Tigers,"Greenville, SC",,,,,,
540,1982,college,Football (M),Idaho State Bengals,"Pocatello, ID",Eastern Kentucky Colonels,"Richmond, KY",,,,
541,1982,pro,NFL,San Francisco 49ers,"San Francisco Bay Area, CA",Cincinnati Bengals,"Cincinnati, OH",San Diego Chargers,"San Diego, CA",Dallas Cowboys,"Dallas-Fort Worth, TX"
542,1982,college,Basketball (M),North Carolina Tar Heels,"Greater Raleigh, NC",Georgetown Hoyas,"Washington, DC Metro Area",Houston Cougars,"Houston, TX",Louisville Cardinals,"Louisville, KY"
543,1982,college,Basketball (W),Louisiana Tech Bulldogs,"Monroe, LA",Cheyney Wolves,"Cheyney, PA",Tennessee Volunteers,"Knoxville, TN",Maryland Terrapins,"Washington, DC Metro Area"
544,1982,pro,NBA,Los Angeles Lakers,"Greater Los Angeles, CA",Philadelphia 76ers,"Greater Philadelphia, PA",San Antonio Spurs,"San Antonio, TX",Boston Celtics,"Greater Boston, MA"
545,1982,pro,NHL,New York Islanders,New York Metro Area,Vancouver Canucks,"Vancouver, BC",Chicago Black Hawks,"Chicago, IL",Quebec Nordiques,"Quebec City, QC"
546,1982,college,Baseball (M),Miami Hurricanes,"Greater Miami Area, FL",Wichita State Shockers,"Wichita, KS",Maine Black Bears,"Orono, ME",Texas Longhorns,"Austin, TX"
547,1982,pro,MLB,St. Louis Cardinals,"St. Louis, MO",Milwaukee Brewers,"Milwaukee, WI",California Angels,"Greater Los Angeles, CA",Atlanta Braves,"Atlanta, GA"
548,1982,pro,CFL,Edmonton Eskimos,"Edmonton, AB",Toronto Argonauts,"Toronto, ON",Winnipeg Blue Bombers,"Winnipeg, MB",Ottawa Rough Riders,"Ottawa, ON"
549,1982,college,Volleyball (W),Hawaii Warriors,"Honolulu, HI",South Carolina Gamecocks,"Columbia, SC",San Diego State Aztecs,"San Diego, CA",Stanford Cardinal,"San Francisco Bay Area, CA"
550,1982,college,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",Central Florida Knights,"Greater Orlando, FL",Connecticut Huskies,"Hartford, CT",University of Missouri,ERROR
551,1983,college,Football (M),Eastern Kentucky Colonels,"Richmond, KY",Delaware Fightin' Blue Hens,"Newark, DE",,,,
552,1983,college,Football (M),Penn State Nittany Lions,"State College, PA",,,,,,
553,1983,pro,NFL,Washington Redskins,"Washington, DC Metro Area",Miami Dolphins,"Greater Miami Area, FL",New York Jets,New York Metro Area,Dallas Cowboys,"Dallas-Fort Worth, TX"
554,1983,college,Basketball (M),North Carolina State Wolfpack,"Greater Raleigh, NC",Houston Cougars,"Houston, TX",Georgia Bulldogs,"Athens, GA",Louisville Cardinals,"Louisville, KY"
555,1983,pro,NBA,Philadelphia 76ers,"Greater Philadelphia, PA",Los Angeles Lakers,"Greater Los Angeles, CA",San Antonio Spurs,"San Antonio, TX",Milwaukee Bucks,"Milwaukee, WI"
556,1983,college,Basketball (W),South Carolina Gamecocks,"Columbia, SC",Louisiana Tech Bulldogs,"Monroe, LA",Old Dominion Monarchs,"Norfolk, VA",Georgia Bulldogs,"Athens, GA"
557,1983,pro,NHL,New York Islanders,New York Metro Area,Edmonton Oilers,"Edmonton, AB",Chicago Black Hawks,"Chicago, IL",Boston Bruins,"Greater Boston, MA"
558,1983,college,Baseball (M),Texas Longhorns,"Austin, TX",Alabama Crimson Tide,"Tuscaloosa, AL",Michigan Wolverines,"Ann Arbor, MI",Arizona State Sun Devils,"Metro Phoenix, AZ"
559,1983,pro,MLB,Baltimore Orioles,"Baltimore, MD",Philadelphia Phillies,"Greater Philadelphia, PA",Chicago White Sox,"Chicago, IL",Los Angeles Dodgers,"Greater Los Angeles, CA"
560,1983,pro,CFL,Toronto Argonauts,"Toronto, ON",BC Lions,"Vancouver, BC",Winnipeg Blue Bombers,"Winnipeg, MB",Hamilton Tiger-Cats,"Hamilton, ON"
561,1983,college,Volleyball (W),Hawaii Warriors,"Honolulu, HI",UCLA Bruins,"Greater Los Angeles, CA",Stanford Cardinal,"San Francisco Bay Area, CA",Pacific Tigers,"Stockton, CA"
562,1983,college,Soccer (W),North Carolina Tar Heels,"Greater Raleigh, NC",George Mason Patriots,"Washington, DC Metro Area",Massachusetts Minutemen,"Springfield, MA",Connecticut Huskies,"Hartford, CT"
563,1984,college,Football (M),Southern Illinois Salukis,"Carbondale, IL",Western Carolina Catamounts,"Cullowhee, NC",,,,
564,1984,college,Football (M),Miami Hurricanes,"Greater Miami Area, FL",,,,,,
565,1984,pro,NFL,Los Angeles Raiders,"Greater Los Angeles, CA",Washington Redskins,"Washington, DC Metro Area",Seattle Seahawks,"Seattle,WA",San Francisco 49ers,"San Francisco Bay Area, CA"
566,1984,college,Basketball (M),Georgetown Hoyas,"Washington, DC Metro Area",Houston Cougars,"Houston, TX",Kentucky Wildcats,"Lexington-Fayette, KY",Virginia Cavaliers,"Charlottesville, VA"
567,1984,college,Basketball (W),South Carolina Gamecocks,"Columbia, SC",Tennessee Volunteers,"Knoxville, TN",Cheyney University of Pennsylvania,ERROR,Louisiana Tech Bulldogs,"Monroe, LA"
568,1984,pro,NBA,Boston Celtics,"Greater Boston, MA",Los Angeles Lakers,"Greater Los Angeles, CA",Milwaukee Bucks,"Milwaukee, WI",Phoenix Suns,"Metro Phoenix, AZ"
569,1984,pro,NHL,Edmonton Oilers,"Edmonton, AB",New York Islanders,New York Metro Area,Minnesota North Stars,"Twin Cities, MN",Montreal Canadiens,"Montreal, QC"
