"schoolName","state","link","text"
"HORNELL SENIOR HIGH SCHOOL","NY","http://www.hornellcityschools.com/uploadeddocs/studenthandbook.pdf","It is the responsibility of the student, with parental assistance, to come to school properly dressed. Every student
should be clean and fully dressed. Attire should not be injurious to the health, safety, or welfare of our students; nor
should one’s dress be disruptive to the educational process. The Board of Education has authorized school officials
to prohibit dress which is so distracting as to interfere with the learning process. General guidelines referring to a
student’s dress, grooming and appearance, including hair style/color, jewelry, make-up and nails are outlined below:
1. Student’s dress shall be safe, appropriate and not disrupt or interfere with the educational process. Some
examples of inappropriate clothing would be: high cut shorts, plunging necklines, see-through clothing,
baggy pants with underwear showing, indecently torn clothing, sunglasses, any clothing that covers the face.
These examples are not intended to be a complete list and final determination is made by the building
administration on an individual basis.
2. Footwear is required at all times. Footwear that is a safety hazard will not be allowed.
3. Any item which by slogan or illustration is vulgar, gang-related, obscene, libelous or denigrate others on
account of race, color, religion, creed, national origin, gender, sexual orientation or disability is not
acceptable attire for school.
4. Clothing that promotes and/or endorses the use of alcohol, tobacco or illegal drugs and/or encourages other
illegal or violent activities is unacceptable.
5. Clothing which is indecently patched or torn should not be worn to school. Underwear will be completely
covered at all times.
6. Refrain from wearing hats or other headgear including but not limited to caps, bandanas, hoodies,etc., in
school buildings from 7:30 AM – 3:30 PM on school days, except for religious or medical purposes or if
specifically approved by the building administrator for school sponsored activities such as fundraisers, spirit
week, etc..
Each building principal or his/her designee shall be responsible for informing all students and their parents of the student
dress code at the beginning of the school year and any revisions to the dress code made during the school year. If a
student does not dress in accordance with the above guidelines, he/she will be given an opportunity to conform. The
administration will notify the parents of students who refuse to maintain proper dress in school. Such students will remain
in the Main Office until appropriate changes to their attire have been made."
"CROSWELL-LEXINGTON HIGH SCHOOL","MI","https://www.croslex.org/downloads/student_services/student_handbook_grades_5-12_2018-2019_rev082018.pdf","While fashion changes, the reason for being in school does not. Students are in school to learn.
Any fashion that disrupts the educational process, presents a safety risk, or is not appropriate in
the opinion of the administration will not be permitted.
Inappropriate attire includes, but is not limited to: clothing promoting drugs, smoking, drinking,
profanities, sex, guns, violence, or illegal activities; see-through clothing; pajama pants; outerwear;;
tank tops (regardless of width of straps), cut off shirts, spaghetti/thin strapped tops/dresses/shirts,
strapless, or low cut tops/shirts/dresses; shirts that show backs, midriffs, or undergarments; hats;
hoods worn over the head; bandanas; sunglasses; slippers; spikes and chains.
Skirts, dresses, shorts and holes in pants must be at mid-thigh or below, and no undergarments
may be visible. Pants must be worn at the waist.
All bookbags, stringbags, hats, and coats must be secured in lockers during school hours.
Repeated instances of dress code violations may result in disciplinary consequences."
"DANIEL HAND HIGH SCHOOL","CT","https://resources.finalsite.net/images/v1537382966/madison/a6ml3xn7reg13hd3su8j/DHHSHandbook18-19.pdf","Students are expected to dress in a manner that is suitable for a school environment.
Furthermore, students should dress so that their clothing does not jeopardize the health or
safety of the wearers or others, or cause distraction or disruption of the educational process as
determined by the school administration. Clothing advertising drugs or alcohol is inappropriate
for school wear. Footwear and shirts must be worn at all times. Shirts and tops may not have
large armholes, all shirts must have straps. Shorts must have at least a two and a half inch
inseam; skirts and dresses must be worn at or beyond fingertip length. Clothing should cover
undergarments at all times. The wearing of head coverings, except for religious purposes in the
school building is not allowed. Students dressed inappropriately will not be admitted to class
until they adhere to the dress code expectations. "
"HOUSATONIC VALLEY REGIONAL HIGH SCHOOL","CT","http://www.hvrhs.org/wp-content/uploads/2018/08/studenthandbookweb1819_081418.pdf","Students must be suitably dressed and maintain
high standards of neatness and appropriateness;
dress and appearance are crucial in maintaining a
proper and healthful educational atmosphere. The
following attire is prohibited from wear during the
academic school day:
1. Blouses/shirts/dresses should be constructed
so that the tops of the shoulders are covered. Spaghetti straps, one-shoulder, tube tops, or strapless
tops and dresses are not permitted. Blouses/shirts
will not allow exposure of any portion of the
waist, hips, midriff, or chest.
2. Skirts and dresses should have hemlines that
are mid-thigh. (Mid-thigh is defined as: while
holding arms down at one’s side, the mid-thigh
is at the end of the finger tips. Shorts should be
longer than the end of the thumb.) With safety
as our primary concern, pants should be worn to
stay close to the waist; undergarments should be
completely covered. 
3. Safe and appropriate footwear must be worn at all
times.
4. Attire that displays indecent language, pictures, or
symbols that contain sexual references, or that advertises or encourages the use of drugs, tobacco products,
or alcoholic beverages is prohibited. Pajamas, slippers, and other lounging attire are not allowed.
5. Students may not wear accessories that could cause
injury to others or that are substantially or materially
disruptive of the education process.
6. Students’ clothing or hair should not be hazardous
to them in various school activities such as shop, laboratories, athletics, physical education, and art. Grooming and dress that prevent the student from doing his/
her best work because of blocked vision or restricted
movement, or that exposes the student to accidents,
will not be permitted.
Students whose dress and grooming does not conform
to these standards will be referred to the principal or assistant principal who will inform students of necessary
changes in dress. If students fail to remedy the problem,
parents will be contacted. If the problem remains uncorrected, students will be subject to disciplinary action
up to and including possible suspension/expulsion.
Exceptions to the above dress standards will be considered for medical reasons, special events and cultural
beliefs, or to promote school spirit as determined by
the school principal or his/her designee. Students and/
or sponsors wishing to request special exceptions must
have permission from the school administration prior to
the activity."
"FAIRVIEW HS","PA","http://www.fairviewschools.org/UserFiles/Servers/Server_1466413/File/Fairview%20High%20School/Student%20Handbook/2018-2019%20Student%20Handbook.pdf","Our district vision seeks to develop, among other things, students who embrace diversity, are honest,
respectful, and mindful of the needs of others. All of this requires students to respect both themselves
and others. While Fairview High School encourages and supports individuality, our dress code aims to
foster a positive and healthy environment. Dress or grooming that is overly distracting and therefore
disruptive to the educational process is prohibited.
● Students should wear clothing that is well-suited for a school environment--clothing shall not be
transparent/mesh.
● Clothing will cover the torso, midriff, and backside. Tops will have sleeves.
● Clothing, drawings, tattoos and accessories that display or promote negative messages are not
permitted. These could include drug, gang, weapon, alcohol or tobacco-related information,
obscenities, put-downs, stereotypes, sexual innuendo, offensive words or graphics.
● In shops, labs, and food areas, health and safety regulations will determine any specialized
dress code. See note about dance attire under Dances. All clothing decisions are at the
discretion of the administration.
● Violation of the dress code requires a change of clothing and potential disciplinary
consequences resulting from persistent infringement. 
35
Students must at all times be dressed in a manner that is conducive to a businesslike, scholastic
atmosphere. Dress or grooming which is overly distracting to other and therefore disruptive to the
educational process is prohibited.

Consequences:
● Violators will obtain appropriate clothing before returning to class.
● Students who do not comply with request to use appropriate dress, or who habitually violate the
code shall receive disciplinary consequences including being sent home subsequent to parental
notification
● In shops, labs, and food areas, health and safety regulations will determine any specialized
dress code. See not about dance attire under dances. All clothing decisions are at the discretion
of the administration. "
"LYNNFIELD HIGH","MA","https://www.lynnfield.k12.ma.us/files/4415/3600/1377/2018-2019_LHS_Student_Handbook.pdf","Student dress should be within reasonable limits and should not be extreme. Personal appearance dress or grooming must not disrupt
the educational process or threaten the health or safety of any individual. No clothing or jewelry may be worn which causes disruption
or disorder within the school, such as:
● Tank tops, tube tops, halter tops, tops that bare the midriff, or short skirts/short shorts;
● Clothing that reveals undergarments;
● Clothing that is designed as beach wear;
● Hats, caps, bandanas, scarves or other headgear within school buildings except as such headgear is worn in the context
of respectful religious observance.
Students will have the opportunity to change the offensive appearance or attire before being disciplined. Students are expected to adhere
to the dress code as indicated in their student handbooks. Additionally, building administrators shall have within their authority the right
to determine inappropriate dress, and to discipline students for repeated infractions."
"LAPINE SENIOR HIGH SCHOOL","OR","https://www.bend.k12.or.us/application/files/5514/5176/7366/LPHS_Student_Handbook.pdf","The Bend-La Pine School District has a dress and grooming policy
designed to provide a quality education in a safe, secure and orderly
environment. Students at LPHS are expected to dress appropriately
for school. Student clothing and attire cannot be a distraction to the
educational environment. Students deemed inappropriately attired will be
given an opportunity to change.
Some examples of inappropriate dress may include:
1. Any attire, decal or item that is profane, suggestive, contains
sexual innuendo, or advocates/advertises the use of tobacco,
alcohol, or drugs.
2. Clothing that promotes discrimination, racism, and prejudice or is
adorned with weaponry.
27
3. &ORWKLQJWKDWGRHVQRWFRYHUVXI¿FLHQWO\QRXQGHUJDUPHQWVPD\
be exposed). All clothing shall be worn in a reasonable manner
that does not expose underwear, undergarments, midriffs, or
buttocks. No clothing that is too revealing by discretion of the
Administration. This includes, but not limited to:
a. Backless, strapless, tube, off-the-shoulder, or halter tops,
muscle shirts, shirts split down the sides towards hem,
spaghetti straps, T backs or cut out shirts or shirts/tops
with straps too narrow to cover undergarments. b. Clothing with holes, ripped, torn or cut, shows
undergarments or skin.
c. Shorts (less than 4” from inseam) or skirts that do not
cover the mid-thigh.
d. Tops or shirts that show bare midriffs or that have low
necklines.
e. Pants are to be worn at the waist level. It is expected
that pants be worn in a manner that does not expose
underwear, midriff, or buttocks.
4. Spiked accessories and chains (i.e. wallet, key, security, dog
chains, etc.).
5. Hoods that are up.
6. Sunglasses
7. Bare feet.
8. Pajama bottoms, slippers or blankets.
First Offense:
1. 6WXGHQWZLOOEHVHQWWRWKH2I¿FH$GPLQLVWUDWLRQ
2. Students wearing any clothing or apparel considered inappropriate
will be asked to change, cover up or sent home for the remainder
of the day.
Second Offense:
1. Student will be asked to change or cover up, suspension up to 3
days.
Continued Offenses:
1. Suspension until parent conference (See Insubordination/Willful
Disobedience)"
"ANACORTES HIGH SCHOOL","WA","http://ahs.asd103.org/UserFiles/Servers/Server_263971/Image/AHS%20Student%20Handbook%202018-19%20.pdf","The Anacortes School District along with parents/guardians and community are responsible for encouraging all students
to develop habits of proper dress and grooming. These standards are based on respect for one another and the need to
establish a safe, orderly, caring, and business-like learning environment.
1. Shoes must be worn at all times.
2. An appropriate coverage of the body is required. Spaghetti straps, halter tops, midriff baring, low-cut, sheer, or
otherwise revealing tops are not allowed. Shirts are required. Students’ pants, shorts, and skirts should be worn to
appropriately cover the body and undergarments.
3. Clothing decorated or marked with illustrations, nudity, words or phrases which are vulgar, obscene, suggestive
(including any reference to alcohol, tobacco and drugs), or promote behavior that is intimidating or threatening and/or
which violates school conduct standards, is not allowed. This includes excessive chains, studs, or gang related apparel
and accessories.
4. Sunglasses are not to be worn at school, unless medically necessary.
5. Hats and hoods can be a distraction in the classroom and may only be worn if approved by the classroom teacher.
Please Note: If a student is not following the dress code, he/she will be asked to cover, change or turn it inside out.
Failing to cooperate will be viewed as defiance of authority and the student may be in-school suspended or sent home."
"MAHOPAC HIGH SCHOOL","NY","https://echalk-slate-prod.s3.amazonaws.com/private/schools/1830/site/fileLinks/49878972-307f-404e-80fd-bf747c5b16b9?AWSAccessKeyId=AKIAJSZKIBPXGFLSZTYQ&Expires=1858363622&response-cache-control=private%2C%20max-age%3D31536000&response-content-disposition=%3Bfilename%3D%22Student%2520Handbook%25202018-2019%2520doc%2520%25201.pdf%22&response-content-type=application%2Fpdf&Signature=4snQ7zJnjxTA1gOQ3J98AGAvqLk%3D","Before you read the guidelines for the dress code below, consider the following:
● The way you dress makes an impression. Be aware of what impression you wish to make.
● The heat is not an excuse to wear less. Research suggests that light cotton and full body cover will make
you cooler than wearing less clothing.
● The way you dress makes a statement about you. Remember that a great deal of research has been done
on dress and attitudes. For the short time you are a student during the year, dress appropriately. What you
do outside of school is up to you and your parents.
In summary, Mahopac High School does have a dress code. The Board of Education official Dress Code is available
through the policy manual in the principal’s office. It is summarized below. Most of it is common sense. The school
is obligated to provide an atmosphere that supports student success in the classroom. Students in violation of the
dress code will be notified and will be given time to correct the problem during the school day. Repeated violations or
those that involve insubordination will be referred to the assistant principal and may result in parent contact and/or
disciplinary consequences.
All students are expected to give proper attention to personal cleanliness and to dress appropriately. An individual’s
appearance does have a bearing on how he/she behaves and how others react to him/her. Students and their
parents have the primary responsibility for acceptable student dress and appearance. Teachers and all other district
45
personnel should exemplify and reinforce acceptable student dress and help students develop an understanding of
appropriate appearance in the school setting. A student’s dress, grooming and appearance shall:
1. Be safe, appropriate and not disrupt or interfere with the educational process.
2. Recognize that extremely brief garments such as tube tops, net tops, halter tops, spaghetti straps, plunging
necklines (front and/or back) and see-through garments are not appropriate.
a. At the High School level, shirts must have sleeves.
b. Shorts, skirts, dresses should be of appropriate style and length. As a general guideline, the
length of the student’s shorts, skirt or dress should surpass the length of the student’s fingertips
when their arm is down to their side.
3. Ensure that underwear is completely covered with outer clothing.
4. Include footwear at all times. Footwear that is a safety hazard will not be allowed. Footwear with wheels is
prohibited. No bare feet – or slippers.
5. Not include items that are vulgar, obscene, libelous, or denigrate others, including, but not limited to items
that are vulgar, obscene, libelous, or denigrate others on account of actual or perceived race, color, weight,
religion, creed, national origin, ethnic group, religious practice, gender (identity or expression), sex, sexual
orientation or disability.
6. Not promote and/or endorse the use of alcohol, tobacco, vaping, e-cigarette, or illegal drugs and/or
encourage other illegal or violent activities.
7. Not include sunglasses unless medically warranted and deemed so by a physician.
8. Not include chains, spikes, and other potentially dangerous ornaments.
9. Not include clothing that advocates gang identity.
Students who violate the student dress code shall be required to modify their appearance by covering or removing
the offending item, and if necessary or practical, replacing it with an acceptable item. Any student who refuses to do
so shall be subject to discipline, up to and including in-school suspension for the day. Any student who repeatedly
fails to comply with the dress code shall be subject to further discipline, up to and including out-of-school suspension.
Prohibited items such as are subject to confiscation.
Each of you is responsible for making sure that your dress is acceptable.
o Clothing should be free of endorsements of alcohol, tobacco or illegal drugs, and/or other illegal or
violent activities
o Clothing should not be obscene, libelous, or denigrate others
o Dangerous ornaments such as spikes and chains should not be worn
o Clothing with messages open to interpretation is not allowed. This includes cryptic text,
abbreviations, double meanings, innuendos, and the like.
Students who violate the student dress code shall be required to modify their appearance. Any student who
refuses to do so will be referred to an assistant principal and will be subject to discipline. Repeat violators
will also be referred and subject to disciplinary consequences."
"NORTHLAND PINES HIGH","WI","https://www.npsd.k12.wi.us/NPHS/StudentHanbook.pdf","It is a pupil’s responsibility to dress in a manner that meets reasonable standards of health, cleanliness,
and safety. Students are expected to dress adequately, suitable for weather conditions, and in good
taste. Any article of clothing or style of dressing that tends to draw attention interferes with instruction
or threatens health or safety is considered inappropriate. The manner in which pupils dress and groom
themselves has an important effect upon the attitude they have toward themselves and the school.
Clothes should be neat, modest, clean, and appropriate for school activities. As styles change, there is
a need to be clear about appropriate dress for students at school:
1. Tops that are worn must not be lower in the front than the tops of the armpits. If a student has a
low cut top (top that dips down in front to expose the chest), they must wear another layer
underneath.
2. Shorts must be appropriate in length. Short-shorts are not permissible.
3. Undergarments should not be visible at any time, and should remain under clothing.
4. All pants must be appropriately worn with no skin or undergarments showing.
5. Shorts need to be longer than the pocket liners.
6. Pupils must wear shoes and are not allowed to have bare feet, slippers, or stocking feet.
7. Accessories such as hats, caps, sunglasses, curlers, wave clips, hair rollers, head scarves,
head rags/bandanas, sweatbands, or gloves are not allowed during school hours.
8. Apparel with alcohol, tobacco, ethnic or racial slurs, or reference to sex is not appropriate for
school. Other examples are obscenities, questionable language, double meaning statements,
or statements advocating pain, death, or suicide.
9. Pupils are not allowed to wear jewelry or accessories that indicate gang identification or gang
membership. Pupils are not allowed to carry or wear large chains or wear jewelry with spikes.
10. Backpacks, bags, purses, and coats are not allowed in the classrooms.
Pupils not dressed in an appropriate manner as determined by administration, will be required to
change the inappropriate clothing. Any time lost from class for this purpose will have to be made up by
the pupil. If the nature of appearance disrupts the classroom, thus interfering with the educational
rights of others, the student will be referred to the principal. Students being referred to the principal for
repeat offenses will be disciplined accordingly. Parents may be notified by phone, as well as in writing,
and a conference may be deemed necessary."
"BRADFORD AREA HS","PA","https://www.bradfordareaschools.org/common/pages/DisplayFile.aspx?itemId=3978049","Each student’s manner of dress should be acceptable to normal school activities. Garments imprinted with logos advertising items such as alcohol,
drugs and cigarettes are not acceptable. Garments which contain offensive
words, profanity, provocative pictures or sexual innuendos are not appropriate. Shorts and skirts are to be an appropriate and acceptable length when the
student is standing. Unacceptable shorts include: biker shorts, spandex shorts,
short-shorts or boxer shorts, and any type of cut-off shorts. Halter tops, off
the shoulder tops, spaghetti straps, or low cut tops are not appropriate clothing for school. Bare midriffs, backless tops, tube tops, or any clothing that
reveals the abdominal area or undergarments are not appropriate for school
wear. Also prohibited are shoes that do not properly protect the feet. Hats/
Head Coverings/Bandanas & Hoods are not to be worn upon entry to the
building. Before entering the doors the student MUST remove any head
covering, the item shall remain off until the student exits the building. This
list is not exhaustive.
Any student violating the dress code will be told to change their clothes.
If a student refuses, then a parent/guardian will be notified and the student
will be sent home. The absence will be considered illegal. Students refusing to comply with any reasonable request will be considered insubordinate.
Persistent violations will be documented in the student file and progressive
discipline assigned.
The student dress code requirements extend to any school-sponsored
activity, event, and/or field trip. Students are expected to represent Bradford
Area High School in an appropriate manner at all times. In case of doubt in
any matter pertaining to dress or appearance, the administration will make
the final decision.
Continuous violation of the dress code will be considered as a disciplinary
issue. Students will be subject to disciplinary actions."
"SAUK RAPIDS-RICE SENIOR HIGH","MN","http://www.isd47.org/media/2013/11/Sauk-Rapids-Rice-High-School-Student-Handbook-2018-2019-Rev-1.pdf","Students are expected to wear appropriate clothing for school at all times. The purpose of guidelines below is designed to enhance
the education of students by establishing expectations of dress and grooming that are related to educational goals and in keeping
with school district standards. Clothing should not violate health or safety guidelines, or cause disruption. Dress and grooming
must be in the best interest of the school with respect to health, welfare, and safety and must not interrupt the orderly process of
education in the school. These guidelines have been set cooperatively with staff members and representatives from the Student
Council and promote a respectful school climate focused on academics.
The following areas are points of emphasis for student dress:
1. Revealing pants, tops, dresses, shirts, and jeans must not be worn to school
a. Pants must be worn at the waist
b. Undergarments should not be visible
c. Shorts, skirts, and dresses must be an appropriate length. (As a general guideline, when standing at normal
posture with arms at the sides the student’s fingers should touch clothing material)
d. All tops must cover midriff and cleavage; Spaghetti straps, halter-tops, and cut-off shirts are not appropriate for
school.
(As a general guideline, sleeveless shirts should have straps at least 2” wide)
2. Sunglasses, and hoods are not to be worn inside of the school building
3. Shoes must be worn at all times
4. Clothing and hair should be clean
5. Students are required to wear shorts or sweatpants, an appropriate top, and tennis shoes for Physical Education
6. Clothing showing drawings of or reference to any illegal drug, alcoholic beverage, or other prohibited substance is
unacceptable
7. Clothing or accessories that exhibit objectionable emblems, badges, symbols, signs, words, objects or pictures on
communicating a message that is racist, sexist or otherwise derogatory to a protected minority group; is related to gang
membership or affiliation; or approves, advances or provokes any form of religious, racial or sexual harassment and/or
violence against other individuals; or is identified to be offensive is unacceptable
8. Wearing of masks, painted faces, disguises or grooming that limits or prevents the identification of a student is
unacceptable.
When an infraction of the dress regulations exists and cannot be remedied at school, the student will be sent home to change into
appropriate clothing. Students who refuse to comply with dress guidelines or have repeated infractions will face additional
consequences.
An organized, school sponsored, student group may recommend a form of dress for students considered appropriate for a specific
event and make such recommendation to administration for approval.
Wearing hats is a privilege. Students who choose to wear hats should wear them in such a fashion that their face is easily visible.
Hats are subject to the same guidelines as all other clothing. If a staff member requests the removal of a hat, students must
comply. Staff members may restrict the wearing of hats in their courses or classrooms. A hat may also be confiscated if it is a
distraction to the class or school environment. It is customary and respectful to remove all hats during the Pledge of Allegiance
and the National Anthem.
The content of this section shall not infringe on an individual’s right to dress in accordance with sincerely held religious
observance and practice."
"GILMER HIGH SCHOOL","GA","https://www.gilmerschools.com/common/pages/DisplayFile.aspx?itemId=1053191","The purpose of a dress code is to promote an orderly learning environment in our schools while preparing all
students for later success in the world of work. The Gilmer County Schools Student Dress Code was developed
through the direction of the Superintendent and with the cooperation of parents, students, teachers, and
administrators.
Students of the Gilmer County Schools are expected to dress in a manner that is conducive to a good learning
environment. Prohibited dress shall include any attire that depicts, promotes, or advertises:
• Gang affiliation;
• Illegal activity;
• Illegal drugs;
• Alcohol or tobacco;
• Sexual references;
• Offensive words or designs; and
• Other clothing which is disruptive to the learning environment.
The administration reserves the right to determine if items of clothing are too casual, too revealing or too
distracting for school dress. Additionally, the administration reserves the right to prohibit an item of clothing if 
that clothing creates a potential safety or injury risk to the individual student or others; or, if the item of clothing
creates a reasonable disruption to school environment.
Notes:
• Uniforms for school related activities are acceptable as approved by the school administration.
Female cheerleaders must wear warm-ups under cheerleading uniforms except during games and pep
rallies.
• The school administration reserves the right to alter the dress code for special occasions or
extracurricular activities.
• Parents who require an exemption from the dress code for religious, cultural, or short-term medical
reasons may make application to the principal. "
"SALINA HS","OK","http://s3.amazonaws.com/scschoolfiles/1104/salina_wildcats_school_handbook_2018-19.pdf","The appearance of our student body is important and reflects, to some extent, the
quality and kind of students enrolled in our school. It is the responsibility of each
individual student, therefore, to do everything possible, not only in the area of
academics and extracurricular activities to upgrade our school, but to dress in a
style and manner that will bring credit to and enhance the reputation of its student
body. The school dress for all students should be neat, appropriate and acceptable
for school wear. Any dress or style that is provocative, disruptive, or extreme is not
considered acceptable. To further clarify this statement, the following guidelines
are given:
1. Clothing above the waist
No low cut or revealing shirts that show any part of the bra. 
Shirts with inappropriate or vulgar illustrations or words; see through
material; half-shirts, halters, crop-tops, spaghetti straps, and/or shoulder
baring shirts, etc.… are prohibited as they distract from pupil learning.
Some examples of inappropriate T-shirts or slogans include but are not
limited to: smoking or alcohol advertisements and illegal drug
representations. Slogans representing a double meaning also fall under this
category. Also Dusters, Trench Coats or any other similar style of coat will
be prohibited.
2. Clothing below the waist
a. The article of clothing worn below the waist must be appropriate as
determined by administration. Excessive sagging is not allowed.
b. Under garments must not be worn as outer garments (i.e. men’s boxer
shorts cannot be worn as outer dress.)
c. Shorts, dresses and skirts if worn should be at least mid-thigh when
standing. This is to be determined by having the student stand and
allow their arms to hang loosely at their side.
c. Jeans with holes must be mid-thigh or below. If the holes are above
mid-thigh, then students must wear something underneath where no
skin or under garments can be seen.
d. No tutu’s are to be worn.
e. Leggings are not to be worn as pants. They may be worn under
regulation length skirts, dresses, and long tops.
2. Shoes
State Law requires students to wear shoes during the hours that school is in
session and when on school grounds. No cleated shoes or roller shoes will be
permitted at school.
3. Hats, Caps, and Other Head Coverings
Hats may be worn in the building at Salina Public Schools. It is the teacher’s
discretion whether they allow students to wear hats in their classroom.
Students must remove hats during the flag salute, national anthem, moment
of silence, and prayer, out of respect.
4. Dress Code violations
Students in violation of the dress code shall be sent to the office during first
period or the first period they are on campus.
Procedure for violations:
a. Student sent to the office receives a garment to be worn that is within
the guidelines and the parents are notified.
b. Second violation student will be sent home to change clothes. If he/she
cannot go home, a garment will be provided and student will serve (1)
day of ISD.
c. Students with a third violation will be Suspended from school for not
less than (3) days.
The student and his/her parents must accept the responsibility of dressing
appropriately for the occasion.
Interpretation of the dress standards is the responsibility of the administration.
Faculty members are expected to report violation to the administration."
"GENEVA HIGH SCH","AL","http://www.geneva.gch.schoolinsites.com/?PageName=%27Handbook%27","It is the policy of the Board of Education that good grooming and personal appearance are essential, if not critical, elements in the teaching and learning process. Therefore, it is expected that teachers, administrators, and students dress in such a manner that will ensure the health and safety of the school. Furthermore, the dress and personal appearance will not be disruptive or interfere with the legitimate interest and welfare of students.

 

Dress regulations should discourage the extremes and the fads that lead to disruptions or distractions to the learning process. Dress regulations should provide appropriate standards for the general appearance of students, should foster both physical and mental health, and should assist students in learning dress habits expected in the working society.

 

Shoes must be worn, shoe laces must be tied and straps must be attached. Belts and pants must be worn and fastened at the waist. Straps must be fastened on the shoulders. Care should be taken that skirts and shorts are appropriate and do not disrupt the orderly process of teaching and learning. The shirttail (male students) must be worn inside of the pants so that all belt loops are visible. Girls wearing leggings must wear a top long enough to cover the buttocks. Failure to comply with any dress code requirements is a Class I Offense.

The following items are prohibited:

 

*see-through clothing, midriffs; short shorts (soffe type shorts, Nike dry-fit type shorts); bicycle pants; very short mini-skirts or dresses; tank tops, spaghetti straps or basketball jersey type shirts; pajamas, tight fitting jogging suits or leotards; clothing with inappropriate printing or pictures (including profanity, no alcohol or tobacco advertisements or promotion of prohibited drugs); inappropriately slashed clothing (no holes above mid-thigh); non-prescriptive sunglasses; any jewelry that appears to pose a threat or that may be harmful or hazardous (i.e. – studded or spiked bracelets and necklaces); or any attire, symbol, extra accessories or ornaments not listed that might encourage student unrest, or is determined inappropriate by the principal."
"CONVAL REGIONAL HIGH SCHOOL","NH","https://docs.google.com/spreadsheets/d/1PJejlAKj2rgcygF7WLZkkWmhN4PidN2aqhjaW2jg8rU/edit#gid=1164736096","ConVal High School expects all students to act and to dress in a respectful and appropriate
manner that is conducive to the academic environment.
ConVal High School will seek to ensure that students’ attire and grooming is of such a nature so
as not to endanger his/her health or safety or that of others. The school does not permit
clothing to be worn that is damaging to school property or generally disruptive to the
educational process. When in school, students must wear footwear at all times.
Specifically, students will not be able to wear clothing that:
● advertises or promotes the use of drug, alcohol, or tobacco products, including vaping.
● expresses or encourages profanity, sexual innuendo, violence, intolerance or any illegal
behavior.
The administration and/or faculty of ConVal High School will determine, using their discretion
and good judgment, what is considered to be appropriate school attire.
Students who are considered to be in violation of the specific points above or in
nonobservance of the general standards of appropriate school attire will be asked to change
immediately into clothing that meets ConVal’s goal of maintaining a safe and comfortable
school environment. If a student is sent home to change, the time missed from class will be
unexcused."
"HOLCOMB HIGH","KS","http://www.usd363.com/vimages/shared/vnews/stories/4bb4055f09830/18-19%20HHS%20Handbook.pdf","Appearance does affect the learning atmosphere of a school. Neatness, decency and good taste are emphasized as guidelines for acceptable
dress. To aid students and parents in determining acceptable school dress, the following guidelines have been developed. These guidelines
are in effect during the school day and any activity in which Holcomb High School is involved whether the student is participating or being
a spectator. Please read and observe the following:
1. Everyone must have footwear on at all times.
2. Hats, caps, and other forms of headgear are not to be worn in the building – including home and away activities.
3. T-shirts worn in gym class are not to be worn in other classes.
4. Transparent clothing, revealing clothing, fish net shirts that expose the body and two piece outfits that expose the bare midriff are
not acceptable at school or school activities.
5. No sleeveless shirts will be allowed unless a top with sleeves is worn underneath or over the sleeveless shirt.
6. Skirts, dresses, and shorts (including all slits, cuts, or openings) should be at or below the index finger when shoulders and arms
are in a relaxed position. Tight shorts as determined by faculty and/or administration are not permitted.
7. Non-prescription sunglasses cannot be worn in the school building.
8. Pants or shorts must be worn on or above the hips. Students will not be allowed to wear clothing with holes or tears above the
knee regardless of whether those holes or tears are intentional or not.
9. No gang symbols or gang-affiliated attire will be allowed to be worn at school or any school activity. EXAMPLES: Overall
straps must be over shoulders, no sagging pants, no excessive oversized clothing, no black lipstick, bandannas, exposed boxer
shorts, or hanging belts. Our district will use the Finney County Law Enforcement Center for references.
10. No wallet chains of any length, spiked jewelry, or ―dog collars‖ will be allowed.
11. Students are not permitted to wear or possess any items that describe in picture, word, or inference profanity, obscenity, alcohol,
drugs, tobacco, or inappropriate double meanings.
12. Appropriate undergarments must be worn at school and all school activities.
13. No PJs or nightwear, including blankets, are to be worn during the school day (unless permission – i.e. homecoming week).
14. Personal grooming, such as combing hair or applying makeup should be done in the restroom.
15. Because of safety hazards involved in some class activities (i.e. shop, recreation, intramural, and field trips), students in these
classes must dress suitable to the conditions as the instructor requires.
16. Any student who represents the school in extracurricular activities must dress in accordance with the sponsor's requirements,
subject to prior approval by the administration.
17. Pierced earrings worn in the ear(s) is the only acceptable form of body piercing, with the exception of studs, that will be allowed.
All safety concerns in this area will be addressed.
18. Exceptions to the dress policy will be allowed only on the following special occasions: Prom, school issued uniforms, any school
sponsored event which is deemed appropriate by the administration. All guidelines to exceptions to the school dress policy will
be determined by the administration only. Dress Policy is in effect at Homecoming dances.
Student dress which is disruptive to learning will be grounds for disciplinary action. Students who fail to comply with the dress guidelines
may have items confiscated, which will be held by the administrator for parental claim. Items not claimed by the end of the school year
will be discarded.
Students who fail to comply with the dress code guidelines will be held to the following:
1st Offense: Sent to office, change clothes, Sent back to class.
2nd Offense: Sent to office, change clothes, Sent back to class, detention.
3rd Offense: Sent to office, change clothes, Sent back to class, multiple-day detention.
4th Offense: Sent to office, change clothes, 1 day OSS.
5th Offense: Sent to office, change clothes, 2 day OSS.
Continued violations will be dealt with on an individual basis. Any student who does not have a change of clothes available or who parents
cannot bring a change of clothes to the school; will be placed in ISS for the remainder of the day. Students will not be allowed to go home
to get a change of clothes during the school day."
