"schoolName","state","sanction","offense"
"ARCADIA HIGH SCHOOL","NY","suspension","Any"
"RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL","NY","suspension","Any"
"NORTHGLENN HIGH SCHOOL","CO","suspension","2nd"
"NORTHGLENN HIGH SCHOOL","CO","suspension","3rd"
"NORTHGLENN HIGH SCHOOL","CO","suspension","4th"
"DEL MAR HIGH","CA","suspension","3rd"
"ANAMOSA HIGH SCHOOL","IA","suspension","4th"
"BROOKFIELD HIGH","MO","suspension","2nd"
"BROOKFIELD HIGH","MO","suspension","3rd"
"BROOKFIELD HIGH","MO","suspension","4th"
"JULIAN HIGH","CA","suspension","4th"
"BEGGS HS","OK","suspension","5th"
"MILTON HIGH","WI","suspension","Any"
"SOUTHERN COLUMBIA HS","PA","suspension","Any"
"PORT JERVIS SENIOR HIGH SCHOOL","NY","suspension","Any"
"LONGMONT HIGH SCHOOL","CO","suspension","3rd"
"ELKO HIGH SCHOOL","NV","suspension","3rd"
"NORTHBRIDGE HIGH","MA","suspension","Any"
"DEPEW HIGH SCHOOL","NY","suspension","Any"
"PINE BUSH SENIOR HIGH SCHOOL","NY","suspension","Any"
"HUNTLEY PROJECT HIGH SCHL","MT","suspension","Any"
"MOUNDS HS","OK","suspension","Any"
"BERRYVILLE HIGH SCHOOL","AR","suspension","4th"
"BERRYVILLE HIGH SCHOOL","AR","suspension","5th"
"NANTUCKET HIGH","MA","suspension","3rd"
"MARINETTE HIGH","WI","suspension","2nd"
"SHADOW HILLS HIGH","CA","suspension","Any"
"COLUMBIA HIGH SCHOOL","NY","suspension","Any"
"HART HIGH SCHOOL","MI","suspension","Any"
"THOMAS JEFFERSON HIGH SCHOOL","CO","suspension","Any"
"WEST SENECA EAST SENIOR HIGH SCHOOL","NY","suspension","Any"
"BELLPORT SENIOR HIGH SCHOOL","NY","suspension","Any"
"PLATTE CANYON HIGH SCHOOL","CO","suspension","4th"
"ROSEMONT HIGH","CA","suspension","4th"
"SPENCERPORT HIGH SCHOOL","NY","suspension","Any"
"PITTSFIELD HIGH SCHOOL","NH","suspension","Any"
"WEST ISLIP SENIOR HIGH SCHOOL","NY","suspension","Any"
"SOUTH GLENS FALLS SENIOR HIGH SCHOOL","NY","suspension","Any"
"LURAY HIGH","VA","suspension","Any"
"ATHENS HIGH","WI","suspension","Any"
"ATASCADERO HIGH","CA","suspension","Any"
"KEYSTONE HIGH SCHOOL","OH","suspension","Any"
"GOSHEN CENTRAL HIGH SCHOOL","NY","suspension","Any"
"SINTON H S","TX","suspension","Any"
"INDEPENDENCE HIGH SCHOOL","MS","suspension","3rd"
"BLUE RIDGE H S","TX","suspension","Any"
"LA JOLLA HIGH","CA","suspension","3rd"
"WEST GRAND HIGH SCHOOL","CO","suspension","3rd"
"THUNDER RIDGE HIGH SCHOOL","KS","suspension","5th"
"ILLINOIS VALLEY HIGH SCHOOL","OR","suspension","Any"
"WEST HEMPSTEAD HIGH SCHOOL","NY","suspension","Any"
"MONROE-WOODBURY HIGH SCHOOL","NY","suspension","Any"
"MILLER PLACE HIGH SCHOOL","NY","suspension","Any"
"TIPTON HIGH SCHOOL","IA","suspension","Any"
"CLEARWATER HIGH","MO","suspension","Any"
"HAMILTON HIGH SCHOOL","AZ","suspension","Any"
"LYONS SENIOR HIGH SCHOOL","NY","suspension","Any"
"UNIONVILLE-SEBEWAING HIGH SCHOOL","MI","suspension","5th"
"TEXAS H S","TX","suspension","1st"
"TEXAS H S","TX","suspension","2nd"
"EAST HAMPTON HIGH SCHOOL","NY","suspension","2nd"
"WARRENTON HIGH SCHOOL","OR","suspension","2nd"
"SENIOR HS","OK","suspension","3rd"
"ONTEORA HIGH SCHOOL","NY","suspension","2nd"
"HAVERLING SENIOR HIGH SCHOOL","NY","suspension","Any"
"HUNTINGTON HIGH SCHOOL","NY","suspension","2nd"
"SOCIAL CIRCLE HIGH SCHOOL","GA","suspension","2nd"
"SOCIAL CIRCLE HIGH SCHOOL","GA","suspension","3rd"
"LOMIRA HIGH","WI","suspension","Any"
"SARATOGA SPRINGS HIGH SCHOOL","NY","suspension","Any"
"RUSSELL HIGH","KS","suspension","4th"
"GRAND RAPIDS SENIOR HIGH","Mn","suspension","Any"
"OKAY HS","OK","suspension","Any"
"CLEAR CREEK HIGH SCHOOL","CO","suspension","3rd"
"CALIFORNIA HIGH","MO","suspension","2nd"
"ALISO NIGUEL HIGH","CA","suspension","5th"
"CALIFORNIA HIGH","MO","suspension","2nd"
"TONASKET HIGH SCHOOL","WA","suspension","Any"
"QUARTZ HILL HIGH","CA","suspension","5th"
"WRAY HIGH SCHOOL","CO","suspension","3rd"
"PONCA CITY HS","OK","suspension","4th"
"HILTON HIGH SCHOOL","NY","suspension","Any"
"AUBURN SENIOR HIGH","MA","suspension","Any"
"DEWITT HIGH SCHOOL","AR","suspension","Any"
"CONNETQUOT HIGH SCHOOL","NY","suspension","Any"
"RONDOUT VALLEY HIGH SCHOOL","NY","suspension","Any"
"ELKHORN AREA HIGH","WI","suspension","Any"
"NORWOOD HIGH","MA","suspension","3rd"
"HOLLAND PATENT CENTRAL HIGH SCHOOL","NY","suspension","Any"
"ATLANTA H S","TX","suspension","Any"
"STRAFFORD HIGH","MO","suspension","Any"
"QUINCY HIGH SCHOOL","WA","suspension","Any"
"JENKS HS","OK","suspension","3rd"
"MOUNTAIN RANGE HIGH SCHOOL","CO","suspension","2nd"
"MOUNTAIN RANGE HIGH SCHOOL","CO","suspension","3rd"
"MOUNTAIN RANGE HIGH SCHOOL","CO","suspension","4th"
"MOUNT UNION AREA SHS","PA","suspension","3rd"
"HOUSATONIC VALLEY REGIONAL HIGH SCHOOL","CT","suspension","Any"
"LAPINE SENIOR HIGH SCHOOL","OR","suspension","2nd"
"LAPINE SENIOR HIGH SCHOOL","OR","suspension","3rd"
"MAHOPAC HIGH SCHOOL","NY","suspension","Any"
"SALINA HS","OK","suspension","3rd"
"HOLCOMB HIGH","KS","suspension","4th"
"HOLCOMB HIGH","KS","suspension","5th"
"ALTA LOMA HIGH","CA","suspension","Any"
"RED HOOK SENIOR HIGH SCHOOL","NY","suspension","Any"
"WEST SENECA WEST SENIOR HIGH SCHOOL","NY","suspension","Any"
"SEQUOYAH HS","OK","suspension","3rd"
"MILTON HIGH","WI","transfer expulsion","Any"
"BERRYVILLE HIGH SCHOOL","AR","transfer expulsion","Any"
"PLATTE CANYON HIGH SCHOOL","CO","transfer expulsion","4th"
"LURAY HIGH","VA","transfer expulsion","Any"
"ATASCADERO HIGH","CA","transfer expulsion","Any"
"WEST GRAND HIGH SCHOOL","CO","transfer expulsion","3rd"
"SOCIAL CIRCLE HIGH SCHOOL","GA","transfer expulsion","3rd"
"DEWITT HIGH SCHOOL","AR","transfer expulsion","Any"
"HOUSATONIC VALLEY REGIONAL HIGH SCHOOL","CT","transfer expulsion","Any"
"ALTA LOMA HIGH","CA","transfer expulsion","Any"
"HICKSVILLE HIGH SCHOOL","NY","undefined possible consequences","Any"
"RUSK H S","TX","undefined possible consequences","Any"
"MAY-PORT CG HIGH SCHOOL","ND","undefined possible consequences","Any"
"EAST HIGH","UT","undefined possible consequences","Any"
"NORTH FORT MYERS HIGH SCHOOL","FL","undefined possible consequences","Any"
"PRIOR LAKE HIGH SCHOOL","MN","undefined possible consequences","Any"
"OOLOGAH-TALALA HS","OK","undefined possible consequences","Any"
"LA FERIA H S","TX","undefined possible consequences","Any"
"FONDA-FULTONVILLE SENIOR HIGH SCHOOL","NY","undefined possible consequences","Any"
"TEAGUE H S","TX","undefined possible consequences","Any"
"ARCADIA HIGH SCHOOL","NY","undefined possible consequences","Any"
"RAVENA-COEYMANS-SELKIRK SENIOR HIGH SCHOOL","NY","undefined possible consequences","Any"
"LATHROP HIGH","CA","undefined possible consequences","Any"
"DEL MAR HIGH","CA","undefined possible consequences","3rd"
"CARMEL HIGH SCHOOL","NY","undefined possible consequences","Any"
"BREMOND H S","TX","undefined possible consequences","2nd"
"LATHROP HIGH SCHOOL","AK","undefined possible consequences","2nd"
"ATHOL HIGH","MA","undefined possible consequences","Any"
"SOUTHERN COLUMBIA HS","PA","undefined possible consequences","3rd"
"PORT JERVIS SENIOR HIGH SCHOOL","NY","undefined possible consequences","Any"
"SOUTH JEFFERSON HIGH SCHOOL","NY","undefined possible consequences","Any"
"NORTHBRIDGE HIGH","MA","undefined possible consequences","Any"
"DEPEW HIGH SCHOOL","NY","undefined possible consequences","Any"
"BARBERS HILL H S","TX","undefined possible consequences","Any"
"BUTLER HIGH SCHOOL","OH","undefined possible consequences","Any"
"GATEWAY HIGH SCHOOL","CO","undefined possible consequences","Any"
"PINE BUSH SENIOR HIGH SCHOOL","NY","undefined possible consequences","Any"
"DAWSON HIGH SCHOOL","MT","undefined possible consequences","Any"
"GIRARD HS","PA","undefined possible consequences","Any"
"HUNTLEY PROJECT HIGH SCHL","MT","undefined possible consequences","Any"
"MOUNDS HS","OK","undefined possible consequences","Any"
"OAK GROVE HIGH","MO","undefined possible consequences","Any"
"HANOVER HIGH","KS","undefined possible consequences","Any"
"LAWSON HIGH","MO","undefined possible consequences","Any"
"HENRIETTA H S","TX","undefined possible consequences","Any"
"HORN H S","TX","undefined possible consequences","Any"
"WEATHERFORD H S","TX","undefined possible consequences","Any"
"AMITY REGIONAL HIGH SCHOOL","CT","undefined possible consequences","Any"
"CORNWALL CENTRAL HIGH SCHOOL","NY","undefined possible consequences","Any"
"WASHINGTON HIGH","MO","undefined possible consequences","Any"
"LEVERETTS CHAPEL H S","TX","undefined possible consequences","Any"
"WEST STOKES HIGH","NC","undefined possible consequences","Any"
"NORTH CARROLL HIGH","MD","undefined possible consequences","Any"
"MIDLAND H S","TX","undefined possible consequences","Any"
"PELLA HIGH SCHOOL","IA","undefined possible consequences","Any"
"MCGREGOR H S","TX","undefined possible consequences","Any"
"CURRITUCK COUNTY HIGH","NC","undefined possible consequences","Any"
"PLEASANT GROVE H S","TX","undefined possible consequences","Any"
"BASTROP H S","TX","undefined possible consequences","Any"
"MARINETTE HIGH","WI","undefined possible consequences","2nd"
"PORTSMOUTH HIGH SCHOOL","NH","undefined possible consequences","Any"
"BORGER H S","TX","undefined possible consequences","Any"
"WELDON VALLEY HIGH SCHOOL","CO","undefined possible consequences","Any"
"COLUMBIA HIGH SCHOOL","NY","undefined possible consequences","Any"
"TWIN VALLEY HIGH SCHOOL","VT","undefined possible consequences","Any"
"HALLSVILLE H S","TX","undefined possible consequences","Any"
"PLYMOUTH-WHITEMARSH SHS","PA","undefined possible consequences","Any"
"THOMAS JEFFERSON HIGH SCHOOL","CO","undefined possible consequences","Any"
"NELSON COUNTY HIGH","VA","undefined possible consequences","Any"
"CREEKVIEW H S","TX","undefined possible consequences","Any"
"HUDSON HIGH","WI","undefined possible consequences","Any"
"MORENCI HIGH SCHOOL","AZ","undefined possible consequences","3rd"
"WEST SENECA EAST SENIOR HIGH SCHOOL","NY","undefined possible consequences","Any"
"WESTON RANCH HIGH","CA","undefined possible consequences","Any"
"SKIATOOK HS","OK","undefined possible consequences","3rd"
"NISKAYUNA HIGH SCHOOL","NY","undefined possible consequences","Any"
"JACKSON HOLE HIGH SCHOOL","WY","undefined possible consequences","Any"
"IRAAN H S","TX","undefined possible consequences","Any"
"LINCOLN SENIOR HIGH SCHOOL","MI","undefined possible consequences","Any"
"TURPIN HS","OK","undefined possible consequences","Any"
"BELLPORT SENIOR HIGH SCHOOL","NY","undefined possible consequences","Any"
"PLATTE CANYON HIGH SCHOOL","CO","undefined possible consequences","4th"
"ROSEMONT HIGH","CA","undefined possible consequences","4th"
"BOWLEGS HS","OK","undefined possible consequences","Any"
"SPENCERPORT HIGH SCHOOL","NY","undefined possible consequences","Any"
"PIEDMONT HS","OK","undefined possible consequences","4th"
"RIVERDALE HIGH SCHOOL","FL","undefined possible consequences","Any"
"PITTSFIELD HIGH SCHOOL","NH","undefined possible consequences","Any"
"WEST ISLIP SENIOR HIGH SCHOOL","NY","undefined possible consequences","Any"
"KENYON-WANAMINGO SENIOR HIGH","MN","undefined possible consequences","Any"
"CRATER ACADEMY OF HEALTH AND PUBLIC SERVICES","OR","undefined possible consequences","Any"
"GRAND LEDGE HIGH SCHOOL","MI","undefined possible consequences","Any"
"TARKINGTON H S","TX","undefined possible consequences","1st"
"TARKINGTON H S","TX","undefined possible consequences","Any"
"SOUTH GLENS FALLS SENIOR HIGH SCHOOL","NY","undefined possible consequences","Any"
"LEBANON SR. HIGH","MO","undefined possible consequences","Any"
"APPOQUINIMINK HIGH SCHOOL","DE","undefined possible consequences","Any"
"QUANAH H S","TX","undefined possible consequences","Any"
"GRANDVIEW SR. HIGH","MO","undefined possible consequences","Any"
"FONTANA HIGH","CA","undefined possible consequences","Any"
"BONNEY LAKE HIGH SCHOOL","WA","undefined possible consequences","Any"
"ROGERS H S","TX","undefined possible consequences","Any"
"ATHENS HIGH","WI","undefined possible consequences","Any"
"CELINA H S","TX","undefined possible consequences","Any"
"QUEEN CITY H S","TX","undefined possible consequences","Any"
"MACON SR. HIGH","MO","undefined possible consequences","Any"
"KEYSTONE HIGH SCHOOL","OH","undefined possible consequences","Any"
"ONTARIO HIGH SCHOOL","OR","undefined possible consequences","Any"
"GOSHEN CENTRAL HIGH SCHOOL","NY","undefined possible consequences","Any"
"ALAMO HEIGHTS H S","TX","undefined possible consequences","Any"
"SHELBY CO HIGH SCH","AL","undefined possible consequences","Any"
"BLUE RIDGE H S","TX","undefined possible consequences","Any"
"WEST GRAND HIGH SCHOOL","CO","undefined possible consequences","3rd"
"PARK HILL HIGH","MO","undefined possible consequences","Any"
"JOSEPH CASE HIGH","MA","undefined possible consequences","Any"
"WHARTON H S","TX","undefined possible consequences","Any"
"ILLINOIS VALLEY HIGH SCHOOL","OR","undefined possible consequences","Any"
"GRIFFIN HIGH SCHOOL","GA","undefined possible consequences","Any"
"WEST HEMPSTEAD HIGH SCHOOL","NY","undefined possible consequences","Any"
"CENTURY HIGH","MD","undefined possible consequences","Any"
"OLTON H S","TX","undefined possible consequences","Any"
"LITTLE MIAMI HIGH SCHOOL","OH","undefined possible consequences","Any"
"GLEN ROSE H S","TX","undefined possible consequences","Any"
"MONROE-WOODBURY HIGH SCHOOL","NY","undefined possible consequences","Any"
"LOVELL HIGH SCHOOL","WY","undefined possible consequences","Any"
"KETCHUM HS","OK","undefined possible consequences","Any"
"LEOMINSTER HIGH SCHOOL","MA","undefined possible consequences","Any"
"LEBANON HIGH SCHOOL","OR","undefined possible consequences","Any"
"MILLER PLACE HIGH SCHOOL","NY","undefined possible consequences","Any"
"LEHIGH SENIOR HIGH SCHOOL","FL","undefined possible consequences","Any"
"SPAULDING UHSD #41","VT","undefined possible consequences","Any"
"CLEARWATER HIGH","MO","undefined possible consequences","Any"
"HILLDALE HS","OK","undefined possible consequences","Any"
"ALVARADO H S","TX","undefined possible consequences","Any"
"CIMARRON HS","OK","undefined possible consequences","Any"
"HAMILTON HIGH SCHOOL","AZ","undefined possible consequences","Any"
"PALACIOS H S","TX","undefined possible consequences","Any"
"LYONS SENIOR HIGH SCHOOL","NY","undefined possible consequences","Any"
"PENTUCKET REGIONAL SR HIGH","MA","undefined possible consequences","Any"
"BINGHAMTON HIGH SCHOOL","NY","undefined possible consequences","Any"
"OMRO HIGH","WI","undefined possible consequences","Any"
"NASHOBA REGIONAL","MA","undefined possible consequences","Any"
"PIERCE COUNTY HIGH SCHOOL","GA","undefined possible consequences","Any"
"SOUTH ALBANY HIGH SCHOOL","OR","undefined possible consequences","Any"
"CONNALLY HIGH SCHOOL","TX","undefined possible consequences","Any"
"MIDDLE CREEK HIGH","NC","undefined possible consequences","Any"
"FONTANA A. B. MILLER HIGH","CA","undefined possible consequences","Any"
"CHANHASSEN HIGH SCHOOL","MN","undefined possible consequences","Any"
"DOUGLAS HIGH SCHOOL","MA","undefined possible consequences","2nd"
"WALPOLE HIGH","MA","undefined possible consequences","Any"
"MEMORIAL HS","OK","undefined possible consequences","Any"
"EAST HAMPTON HIGH SCHOOL","NY","undefined possible consequences","2nd"
"IRVINE HIGH","CA","undefined possible consequences","Any"
"HILLIARD BRADLEY HIGH SCHOOL","OH","undefined possible consequences","Any"
"MEDFORD HIGH","MA","undefined possible consequences","2nd"
"MONROE CITY R-I HIGH","MO","undefined possible consequences","2nd"
"TEMPLE H S","TX","undefined possible consequences","Any"
"HAVERLING SENIOR HIGH SCHOOL","NY","undefined possible consequences","Any"
"WHITE RIVER HIGH SCHOOL","WA","undefined possible consequences","Any"
"ASTORIA SENIOR HIGH SCHOOL","OR","undefined possible consequences","Any"
"HIAWATHA SR HIGH","KS","undefined possible consequences","Any"
"SOCIAL CIRCLE HIGH SCHOOL","GA","undefined possible consequences","1st"
"EAST HAVEN HIGH SCHOOL","CT","undefined possible consequences","Any"
"SKYVIEW HIGH SCHOOL","WA","undefined possible consequences","Any"
"KELSO HIGH SCHOOL","WA","undefined possible consequences","Any"
"CHIRENO H S","TX","undefined possible consequences","Any"
"RUSSELL HIGH","KS","undefined possible consequences","4th"
"NETTLETON HIGH SCHOOL","MS","undefined possible consequences","Any"
"LAKER HIGH SCHOOL","MI","undefined possible consequences","Any"
"LODI HIGH","WI","undefined possible consequences","2nd"
"MORRISON HS","OK","undefined possible consequences","Any"
"OKAY HS","OK","undefined possible consequences","Any"
"ASSETS","TX","undefined possible consequences","Any"
"CLEAR CREEK HIGH SCHOOL","CO","undefined possible consequences","3rd"
"HENRY J. KAISER HIGH","CA","undefined possible consequences","Any"
"BURKBURNETT H S","TX","undefined possible consequences","Any"
"SILVER VALLEY HIGH","CA","undefined possible consequences","Any"
"ANDREWS H S","TX","undefined possible consequences","Any"
"GRAHAM HS","OK","undefined possible consequences","Any"
"SWEETWATER H S","TX","undefined possible consequences","3rd"
"GEORGE WASHINGTON HIGH SCHOOL","IA","undefined possible consequences","Any"
"GLEN ULLIN HIGH SCHOOL","ND","undefined possible consequences","Any"
"TONASKET HIGH SCHOOL","WA","undefined possible consequences","Any"
"WRAY HIGH SCHOOL","CO","undefined possible consequences","3rd"
"HILTON HIGH SCHOOL","NY","undefined possible consequences","Any"
"COLBY SENIOR HIGH","KS","undefined possible consequences","Any"
"AUBURN HIGH","VA","undefined possible consequences","Any"
"HICKORY RIDGE HIGH","NC","undefined possible consequences","Any"
"CONNETQUOT HIGH SCHOOL","NY","undefined possible consequences","Any"
"RONDOUT VALLEY HIGH SCHOOL","NY","undefined possible consequences","Any"
"PORUM HS","OK","undefined possible consequences","Any"
"FARMINGTON HIGH","NM","undefined possible consequences","Any"
"MOUNT PLEASANT HIGH","NC","undefined possible consequences","Any"
"MENCHVILLE HIGH","VA","undefined possible consequences","Any"
"ALMONT HIGH SCHOOL","MI","undefined possible consequences","Any"
"WASHBURN RURAL HIGH","KS","undefined possible consequences","Any"
"NEWBERG SENIOR HIGH SCHOOL","OR","undefined possible consequences","Any"
"BLAIR OAKS HIGH","MO","undefined possible consequences","Any"
"NICOLET HIGH","WI","undefined possible consequences","Any"
"HOLLAND PATENT CENTRAL HIGH SCHOOL","NY","undefined possible consequences","Any"
"DICKINSON H S","TX","undefined possible consequences","Any"
"CONCORD HIGH","NC","undefined possible consequences","Any"
"JENKS HS","OK","undefined possible consequences","1st"
"JENKS HS","OK","undefined possible consequences","2nd"
"CHARLESTON HIGH","MO","undefined possible consequences","Any"
"BROOKFIELD HIGH SCHOOL","CT","undefined possible consequences","Any"
"CENTERVILLE HIGH SCHOOL","IA","undefined possible consequences","Any"
"NORTH FAYETTE HIGH SCHOOL","IA","undefined possible consequences","Any"
"CROSWELL-LEXINGTON HIGH SCHOOL","MI","undefined possible consequences","Any"
"HOUSATONIC VALLEY REGIONAL HIGH SCHOOL","CT","undefined possible consequences","Any"
"FAIRVIEW HS","PA","undefined possible consequences","Any"
"LYNNFIELD HIGH","MA","undefined possible consequences","Any"
"MAHOPAC HIGH SCHOOL","NY","undefined possible consequences","Any"
"NORTHLAND PINES HIGH","WI","undefined possible consequences","Any"
"BRADFORD AREA HS","PA","undefined possible consequences","Any"
"SAUK RAPIDS-RICE SENIOR HIGH","MN","undefined possible consequences","Any"
"MARINER HIGH SCHOOL","FL","undefined possible consequences","Any"
"ALTA LOMA HIGH","CA","undefined possible consequences","Any"
"NORTH EUGENE HIGH SCHOOL","OR","undefined possible consequences","Any"
"WEST SPRINGFIELD HIGH","MA","undefined possible consequences","Any"
"SIUSLAW HIGH SCHOOL","OR","undefined possible consequences","Any"
"UNIVERSITY CITY HIGH","CA","undefined possible consequences","Any"
"HENDERSON H S","TX","undefined possible consequences","Any"
"RED HOOK SENIOR HIGH SCHOOL","NY","undefined possible consequences","Any"
"WEST SENECA WEST SENIOR HIGH SCHOOL","NY","undefined possible consequences","Any"
"HUDSON'S BAY HIGH SCHOOL","WA","undefined possible consequences","Any"
"MENOMONIE HIGH","WI","undefined possible consequences","Any"
"RUSK H S","TX","wear school provided clothes","Any"
"DODGEVILLE HIGH","WI","wear school provided clothes","Any"
"DEL MAR HIGH","CA","wear school provided clothes","1st"
"RIO RANCHO HIGH","NM","wear school provided clothes","1st"
"RIO RANCHO HIGH","NM","wear school provided clothes","2nd"
"RIO RANCHO HIGH","NM","wear school provided clothes","3rd"
"JULIAN HIGH","CA","wear school provided clothes","1st"
"BEGGS HS","OK","wear school provided clothes","1st"
"BEGGS HS","OK","wear school provided clothes","2nd"
"BEGGS HS","OK","wear school provided clothes","3rd"
"BEGGS HS","OK","wear school provided clothes","4th"
"BUTLER HIGH SCHOOL","OH","wear school provided clothes","Any"
"ELEANOR ROOSEVELT HIGH SCHOOL","NY","wear school provided clothes","Any"
"GIRARD HS","PA","wear school provided clothes","Any"
"HOWE HS","OK","wear school provided clothes","Any"
"MCLOUTH HIGH","KS","wear school provided clothes","Any"
"AKRON WESTFIELD SENIOR HIGH SCHOOL","IA","wear school provided clothes","Any"
"RANCHO BUENA VISTA HIGH","CA","wear school provided clothes","Any"
"FREEPORT AREA SHS","PA","wear school provided clothes","1st"
"FREEPORT AREA SHS","PA","wear school provided clothes","2nd"
"NORTH CARROLL HIGH","MD","wear school provided clothes","Any"
"SHADOW HILLS HIGH","CA","wear school provided clothes","Any"
"NELSON COUNTY HIGH","VA","wear school provided clothes","Any"
"MORENCI HIGH SCHOOL","AZ","wear school provided clothes","1st"
"NEWPORT MIDDLE HIGH SCHOOL (HIGH)","NH","wear school provided clothes","Any"
"JACKSON HOLE HIGH SCHOOL","WY","wear school provided clothes","Any"
"GRAND LEDGE HIGH SCHOOL","MI","wear school provided clothes","Any"
"DAVID PROUTY HIGH","MA","wear school provided clothes","1st"
"FONTANA HIGH","CA","wear school provided clothes","Any"
"HARLOWTON HIGH SCHOOL","MT","wear school provided clothes","Any"
"SEDRO WOOLLEY SENIOR HIGH SCHOOL","WA","wear school provided clothes","Any"
"SINTON H S","TX","wear school provided clothes","Any"
"LA JOLLA HIGH","CA","wear school provided clothes","1st"
"ILLINOIS VALLEY HIGH SCHOOL","OR","wear school provided clothes","Any"
"MONTE VISTA HIGH","CA","wear school provided clothes","Any"
"CEDAR GROVE-BELGIUM HIGH","WI","wear school provided clothes","Any"
"BATTLE CREEK-IDA GROVE SENIOR HIGH SCHOOL","IA","wear school provided clothes","Any"
"PENTUCKET REGIONAL SR HIGH","MA","wear school provided clothes","1st"
"PENTUCKET REGIONAL SR HIGH","MA","wear school provided clothes","2nd"
"DANVERS HIGH","MA","wear school provided clothes","Any"
"GEORGE MASON HIGH","VA","wear school provided clothes","Any"
"CONNALLY HIGH SCHOOL","TX","wear school provided clothes","Any"
"SLEEPY HOLLOW HIGH SCHOOL","NY","wear school provided clothes","Any"
"MEDFORD HIGH","MA","wear school provided clothes","1st"
"HAVERLING SENIOR HIGH SCHOOL","NY","wear school provided clothes","Any"
"EDISON SENIOR HIGH","MN","wear school provided clothes","Any"
"RUSSELL HIGH","KS","wear school provided clothes","1st"
"RUSSELL HIGH","KS","wear school provided clothes","2nd"
"SALLISAW HS","OK","wear school provided clothes","Any"
"LAKER HIGH SCHOOL","MI","wear school provided clothes","Any"
"HENRY J. KAISER HIGH","CA","wear school provided clothes","Any"
"RAMON C. CORTINES SCHOOL OF VISUAL AND PERFORMING ARTS","CA","wear school provided clothes","Any"
"EDISON ACADEMY","MA","wear school provided clothes","Any"
"BUFFALO HIGH SCHOOL","WY","wear school provided clothes","Any"
"RUTLAND SENIOR HIGH SCHOOL","VT","wear school provided clothes","Any"
"TAFT UNION HIGH","CA","wear school provided clothes","Any"
"RUTLAND SENIOR HIGH SCHOOL","VT","wear school provided clothes","Any"
"PONCA CITY HS","OK","wear school provided clothes","1st"
"PONCA CITY HS","OK","wear school provided clothes","2nd"
"PONCA CITY HS","OK","wear school provided clothes","3rd"
"SCOTTS VALLEY HIGH","CA","wear school provided clothes","Any"
"BOURNE HIGH SCHOOL","MA","wear school provided clothes","Any"
"NICOLET HIGH","WI","wear school provided clothes","Any"
"CHARLESTON HIGH","MO","wear school provided clothes","1st"
"CHARLESTON HIGH","MO","wear school provided clothes","2nd"
"CHARLESTON HIGH","MO","wear school provided clothes","3rd"
"PRENTICE HIGH","WI","wear school provided clothes","Any"
"MOUNT UNION AREA SHS","PA","wear school provided clothes","Any"
"BROOKFIELD HIGH SCHOOL","CT","wear school provided clothes","Any"
"SALINA HS","OK","wear school provided clothes","1st"
"SALINA HS","OK","wear school provided clothes","2nd"
"NORTH EUGENE HIGH SCHOOL","OR","wear school provided clothes","Any"
"SIUSLAW HIGH SCHOOL","OR","wear school provided clothes","Any"
"UNIVERSITY CITY HIGH","CA","wear school provided clothes","Any"
"KNOXVILLE HIGH SCHOOL","IA","wear school provided clothes","Any"
"LOOKEBA-SICKLES HS","OK","wear school provided clothes","1st"
"RUSK H S","TX","removed from extra-curricular activities","Any"
"EAST HIGH","UT","students purchase tshirt or gym shorts from office for $5","Any"
"NORTH FORT MYERS HIGH SCHOOL","FL","sent to Student Services","Any"
"PRIOR LAKE HIGH SCHOOL","MN","wearing PE clothes","Any"
"GLASGOW HIGH SCHOOL","MT","slip to office","1st"
"DEL MAR HIGH","CA","notice home to parents","1st"
"DEL MAR HIGH","CA","notice home to parents","2nd"
"DEL MAR HIGH","CA","meeting with parent","3rd"
"ANAMOSA HIGH SCHOOL","IA","warning","1st"
"TACONIC HIGH","MA","counseled","Any"
"BREMOND H S","TX","referred to principal","Any"
"JULIAN HIGH","CA","confiscated","1st"
"JULIAN HIGH","CA","warning","1st"
"ROBERTSDALE HIGH SCH","AL","assigned OCS","Any"
"LONGMONT HIGH SCHOOL","CO","remain in administrative area for day","2nd"
"LONGMONT HIGH SCHOOL","CO","parent conference","2nd"
"WINDTHORST H S","TX","written report","Any"
"COE-BROWN NORTHWOOD ACADEMY","NH","sent to guidance counselor","Any"
"COE-BROWN NORTHWOOD ACADEMY","NH","parent conference","3rd"
"DAWSON HIGH SCHOOL","MT","sent to the office","Any"
"HINTON HS","OK","kept out of class until dressed within school policy","Any"
"MOUNDS HS","OK","removal from extracurricular activities","Any"
"CEDAR CITY HIGH","UT","sent to office","Any"
"HANOVER HIGH","KS","removed from class","Any"
"ELGIN HS","OK","warning","1st"
"ELGIN HS","OK","lunch detention","2nd"
"ELGIN HS","OK","full lunch detention","3rd"
"BERRYVILLE HIGH SCHOOL","AR","principal conference","1st"
"BERRYVILLE HIGH SCHOOL","AR","corporal punishment","2nd"
"NORTH ANDREW HIGH","MO","behavior management plan","Any"
"CARROLLTON HIGH SCHOOL","GA","work detail after school","1st"
"WASHINGTON HIGH","MO","conduct referral","Any"
"RANCHO BUENA VISTA HIGH","CA","discipline referral","1st"
"WEST STOKES HIGH","NC","administrative warning","1st"
"WEST STOKES HIGH","NC","isolation","1st"
